context: Ladies and gentlemen, good evening. response:	Anguish. Anxiety.
context: Ladies and gentlemen, good evening.\Anguish. Anxiety. response:	Because his soul is so pure and innocent,
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent, response:	The tarnish becomes an indelible stain, and the stain gradually spreads.
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads. response:	When one is no longer able to trust others,
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others, response:	Act 15: The End of Happiness, The Beginning of Truth
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth response:	It's amazing how tiny and insignificant the world we live on is.
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is. response:	Yes. In the vast cosmos, it is but a grain of sand.
context: Ladies and gentlemen, good evening.\Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand. response:	And what's more, separated from Earth by a distance of 2:5 light years as we now are,
context: Anguish. Anxiety.\Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are, response:	25 years?
context: Because his soul is so pure and innocent,\The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years? response:	Indeed. 25 years.
context: The tarnish becomes an indelible stain, and the stain gradually spreads.\When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years. response:	I'm glad that you brought me with you.
context: When one is no longer able to trust others,\Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years.\I'm glad that you brought me with you. response:	Seen from space, all the things that I was agonizing over seem so insignificant.
context: Act 15: The End of Happiness, The Beginning of Truth\It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant. response:	Perhaps, but hatred and malice are amplified in the darkness of space.
context: It's amazing how tiny and insignificant the world we live on is.\Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space. response:	Everyone's gone away... Franz has left, and so has Albert.
context: Yes. In the vast cosmos, it is but a grain of sand.\And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert. response:	I'm sorry for asking you to meet me on such short notice, Franz.
context: And what's more, separated from Earth by a distance of 2:5 light years as we now are,\25 years?\Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz. response:	That's all right, I'm glad I had the chance to see you.
