context: As long as I have the power to protect my friends, that's all I need. response:	If I could trade for that power, I wouldn't care how weak I was.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was. response:	I guess... that's contradictory.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory. response:	You are an interesting one.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one. response:	I wish I could fight you fair and square.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square. response:	What do you mean?
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square.\What do you mean? response:	I mean that time is up.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square.\What do you mean?\I mean that time is up. response:	Each side presses the other as the battle on Tenroujima continues.
context: As long as I have the power to protect my friends, that's all I need.\If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square.\What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues. response:	Bluenote appeared before Natsu's group.
context: If I could trade for that power, I wouldn't care how weak I was.\I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square.\What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group. response:	He's not one of the 7 Kin of Purgatory, but the second-in-command!
context: I guess... that's contradictory.\You are an interesting one.\I wish I could fight you fair and square.\What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command! response:	The odds were stacked higher and higher against Fairy Tail.
context: You are an interesting one.\I wish I could fight you fair and square.\What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail. response:	But then Fried, Bickslow, and Gildarts came running back.
context: I wish I could fight you fair and square.\What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back. response:	Fairy Tail started to gain some momentum.
context: What do you mean?\I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum. response:	But then something happened on Tenroujima that no one could have even imagined...
context: I mean that time is up.\Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined... response:	The land where Fairy Tail's founding master rests...
context: Each side presses the other as the battle on Tenroujima continues.\Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests... response:	What future could Mavis's will illuminate for Fairy Tail?
context: Bluenote appeared before Natsu's group.\He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail? response:	Damn it...
context: He's not one of the 7 Kin of Purgatory, but the second-in-command!\The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it... response:	What the hell is happening?
context: The odds were stacked higher and higher against Fairy Tail.\But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening? response:	P-Power... I can't gather any strength...
context: But then Fried, Bickslow, and Gildarts came running back.\Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening?\P-Power... I can't gather any strength... response:	All the energy from my body is being drained suddenly...
context: Fairy Tail started to gain some momentum.\But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly... response:	What in the world is happening?
context: But then something happened on Tenroujima that no one could have even imagined...\The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening? response:	Cana? Cana!
context: The land where Fairy Tail's founding master rests...\What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana! response:	Hey, answer me!
context: What future could Mavis's will illuminate for Fairy Tail?\Damn it...\What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana!\Hey, answer me! response:	I'm... so weak...
context: Damn it...\What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana!\Hey, answer me!\I'm... so weak... response:	I can't keep... my eyes open...
context: What the hell is happening?\P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana!\Hey, answer me!\I'm... so weak...\I can't keep... my eyes open... response:	This is strange...
context: P-Power... I can't gather any strength...\All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana!\Hey, answer me!\I'm... so weak...\I can't keep... my eyes open...\This is strange... response:	Even though I secretly ate some fish just a little while ago...
context: All the energy from my body is being drained suddenly...\What in the world is happening?\Cana? Cana!\Hey, answer me!\I'm... so weak...\I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago... response:	I'm beat... I think I'm done...
context: What in the world is happening?\Cana? Cana!\Hey, answer me!\I'm... so weak...\I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done... response:	Happy!
context: Cana? Cana!\Hey, answer me!\I'm... so weak...\I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy! response:	Could... this be...?
context: Hey, answer me!\I'm... so weak...\I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy!\Could... this be...? response:	Our magic power?
context: I'm... so weak...\I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy!\Could... this be...?\Our magic power? response:	What was that shaking before?
context: I can't keep... my eyes open...\This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy!\Could... this be...?\Our magic power?\What was that shaking before? response:	Azuma, I suppose.
context: This is strange...\Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy!\Could... this be...?\Our magic power?\What was that shaking before?\Azuma, I suppose. response:	My strength... It's being drained.
context: Even though I secretly ate some fish just a little while ago...\I'm beat... I think I'm done...\Happy!\Could... this be...?\Our magic power?\What was that shaking before?\Azuma, I suppose.\My strength... It's being drained. response:	Sounds like he felled the Tenrou Tree.
context: I'm beat... I think I'm done...\Happy!\Could... this be...?\Our magic power?\What was that shaking before?\Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree. response:	He's stealing the magic power from all the people with the mark of Fairy Tail.
context: Happy!\Could... this be...?\Our magic power?\What was that shaking before?\Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail. response:	What?
