context: Notice to Akane! I think I have a crush on Azumi-kun response:	4 Days Until the Meet
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet response:	That's it.
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it. response:	That's right, that's right.
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it.\That's right, that's right. response:	And...
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it.\That's right, that's right.\And... response:	There.
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it.\That's right, that's right.\And...\There. response:	Stop.
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it.\That's right, that's right.\And...\There.\Stop. response:	Good. Okay, next.
context: Notice to Akane! I think I have a crush on Azumi-kun\4 Days Until the Meet\That's it.\That's right, that's right.\And...\There.\Stop.\Good. Okay, next. response:	Dazai once said, People exist for love and for revolution.
context: 4 Days Until the Meet\That's it.\That's right, that's right.\And...\There.\Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution. response:	No littering! The road is part of your yard
context: That's it.\That's right, that's right.\And...\There.\Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard response:	Your time was good today, Chinatsu.
context: That's right, that's right.\And...\There.\Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu. response:	Well, the race is next week.
context: And...\There.\Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week. response:	Maybe you'll make prefecturals.
context: There.\Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals. response:	No way!
context: Stop.\Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals.\No way! response:	You never know.
context: Good. Okay, next.\Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals.\No way!\You never know. response:	Seriously?
context: Dazai once said, People exist for love and for revolution.\No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals.\No way!\You never know.\Seriously? response:	You saw your time today.
context: No littering! The road is part of your yard\Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals.\No way!\You never know.\Seriously?\You saw your time today. response:	Can I have a bite?
context: Your time was good today, Chinatsu.\Well, the race is next week.\Maybe you'll make prefecturals.\No way!\You never know.\Seriously?\You saw your time today.\Can I have a bite? response:	This again?
context: Well, the race is next week.\Maybe you'll make prefecturals.\No way!\You never know.\Seriously?\You saw your time today.\Can I have a bite?\This again? response:	It's so good!
context: Maybe you'll make prefecturals.\No way!\You never know.\Seriously?\You saw your time today.\Can I have a bite?\This again?\It's so good! response:	What flavor is yours, Akane?
context: No way!\You never know.\Seriously?\You saw your time today.\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane? response:	Kinako mochi soda.
context: You never know.\Seriously?\You saw your time today.\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda. response:	Let me taste!
context: Seriously?\You saw your time today.\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste! response:	It actually tastes like kinako and soda.
context: You saw your time today.\Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda. response:	Literally?
context: Can I have a bite?\This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda.\Literally? response:	No, really, try it.
context: This again?\It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda.\Literally?\No, really, try it. response:	Can you actually tell?
context: It's so good!\What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda.\Literally?\No, really, try it.\Can you actually tell? response:	Your language arts grade was good, wasn't it?
context: What flavor is yours, Akane?\Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda.\Literally?\No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it? response:	Yeah.
context: Kinako mochi soda.\Let me taste!\It actually tastes like kinako and soda.\Literally?\No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah. response:	I'm not saying you shouldn't go to the festival.
context: Let me taste!\It actually tastes like kinako and soda.\Literally?\No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival. response:	I'm just worried about your exams.
context: It actually tastes like kinako and soda.\Literally?\No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams. response:	It's an important time for you, Kotarou.
context: Literally?\No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou. response:	You need to...
context: No, really, try it.\Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to... response:	Hello, Azumi speaking.
context: Can you actually tell?\Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking. response:	This is Kitamura of Kadoyama Publishing.
context: Your language arts grade was good, wasn't it?\Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing. response:	Thank you for your submission for the newcomer award.
context: Yeah.\I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award. response:	Kadoyama Publishing?
context: I'm not saying you shouldn't go to the festival.\I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing? response:	Yes.
context: I'm just worried about your exams.\It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes. response:	Can you give me a minute?
context: It's an important time for you, Kotarou.\You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes.\Can you give me a minute? response:	Yes, sorry.
context: You need to...\Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes.\Can you give me a minute?\Yes, sorry. response:	No, it's all right.
context: Hello, Azumi speaking.\This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes.\Can you give me a minute?\Yes, sorry.\No, it's all right. response:	So hungry...
context: This is Kitamura of Kadoyama Publishing.\Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes.\Can you give me a minute?\Yes, sorry.\No, it's all right.\So hungry... response:	So hungry...
context: Thank you for your submission for the newcomer award.\Kadoyama Publishing?\Yes.\Can you give me a minute?\Yes, sorry.\No, it's all right.\So hungry...\So hungry... response:	Here, dig in.
context: Kadoyama Publishing?\Yes.\Can you give me a minute?\Yes, sorry.\No, it's all right.\So hungry...\So hungry...\Here, dig in. response:	You made way too much, Mom.
context: Yes.\Can you give me a minute?\Yes, sorry.\No, it's all right.\So hungry...\So hungry...\Here, dig in.\You made way too much, Mom. response:	Really?
