context: What was that? response:	Kawachi
context: What was that?\Kawachi response:	Yeah... Sure...
context: What was that?\Kawachi\Yeah... Sure... response:	I was just about to get up...
context: What was that?\Kawachi\Yeah... Sure...\I was just about to get up... response:	Oh, I see. Got it.
context: What was that?\Kawachi\Yeah... Sure...\I was just about to get up...\Oh, I see. Got it. response:	Don't worry about it.
context: What was that?\Kawachi\Yeah... Sure...\I was just about to get up...\Oh, I see. Got it.\Don't worry about it. response:	We'll meet to bargain with them early next week, all right?
context: What was that?\Kawachi\Yeah... Sure...\I was just about to get up...\Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right? response:	Talk to you later.
context: What was that?\Kawachi\Yeah... Sure...\I was just about to get up...\Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later. response:	My maternal grandfather died last night.
context: Kawachi\Yeah... Sure...\I was just about to get up...\Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night. response:	That dream I had...
context: Yeah... Sure...\I was just about to get up...\Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night.\That dream I had... response:	Was that Grandpa...
context: I was just about to get up...\Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night.\That dream I had...\Was that Grandpa... response:	and Mom?
context: Oh, I see. Got it.\Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night.\That dream I had...\Was that Grandpa...\and Mom? response:	Seems he'd lost touch with all of the relatives...
context: Don't worry about it.\We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night.\That dream I had...\Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives... response:	I come back after all this time and it's for a funeral...
context: We'll meet to bargain with them early next week, all right?\Talk to you later.\My maternal grandfather died last night.\That dream I had...\Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral... response:	I dunno about tomorrow.
