context: Episode 8 Umaru and Christmas and New Year's response:	Onii-chan! It's snowing!
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing! response:	I thought it seemed cold. It's snowing, huh?
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh? response:	It's all white outside! Do you think it'll stick?
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick? response:	I was going to go to the supermarket today,
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today, response:	but I probably shouldn't go out in that.
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that. response:	All right! Then since I'm the expert on being a shut-in,
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in, response:	I'll plan the ideal day off for you!
context: Episode 8 Umaru and Christmas and New Year's\Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you! response:	Now, sit.
context: Onii-chan! It's snowing!\I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit. response:	You're just going to play games, right?
context: I thought it seemed cold. It's snowing, huh?\It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right? response:	There's something I was planning to bring out today.
context: It's all white outside! Do you think it'll stick?\I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today. response:	Bring out? What?
context: I was going to go to the supermarket today,\but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What? response:	The kotatsu.
context: but I probably shouldn't go out in that.\All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What?\The kotatsu. response:	Umaruun
context: All right! Then since I'm the expert on being a shut-in,\I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What?\The kotatsu.\Umaruun response:	Now, then.
context: I'll plan the ideal day off for you!\Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What?\The kotatsu.\Umaruun\Now, then. response:	What do we need to do first, Onii-chan?
context: Now, sit.\You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What?\The kotatsu.\Umaruun\Now, then.\What do we need to do first, Onii-chan? response:	She only gets motivated at times like this.
context: You're just going to play games, right?\There's something I was planning to bring out today.\Bring out? What?\The kotatsu.\Umaruun\Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this. response:	First...
context: There's something I was planning to bring out today.\Bring out? What?\The kotatsu.\Umaruun\Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First... response:	Clean up the mess you've made.
context: Bring out? What?\The kotatsu.\Umaruun\Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First...\Clean up the mess you've made. response:	What?
context: The kotatsu.\Umaruun\Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First...\Clean up the mess you've made.\What? response:	One, two. One, two.
context: Umaruun\Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First...\Clean up the mess you've made.\What?\One, two. One, two. response:	Don't just move it all to one corner!
context: Now, then.\What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First...\Clean up the mess you've made.\What?\One, two. One, two.\Don't just move it all to one corner! response:	Jeez... What would happen to her if I weren't here?
context: What do we need to do first, Onii-chan?\She only gets motivated at times like this.\First...\Clean up the mess you've made.\What?\One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here? response:	I'll get serious next year.
context: She only gets motivated at times like this.\First...\Clean up the mess you've made.\What?\One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year. response:	Disembodied Head Mogu Mogu
context: First...\Clean up the mess you've made.\What?\One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu response:	Hey!
context: Clean up the mess you've made.\What?\One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu\Hey! response:	It's done!
context: What?\One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu\Hey!\It's done! response:	Yep, it's done.
context: One, two. One, two.\Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu\Hey!\It's done!\Yep, it's done. response:	Don't dive in!
context: Don't just move it all to one corner!\Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu\Hey!\It's done!\Yep, it's done.\Don't dive in! response:	It's such a confined space, yet why does it feel like heaven?
context: Jeez... What would happen to her if I weren't here?\I'll get serious next year.\Disembodied Head Mogu Mogu\Hey!\It's done!\Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven? response:	Now that we've got the kotatsu out, I've gotta bring over some stuff!
context: I'll get serious next year.\Disembodied Head Mogu Mogu\Hey!\It's done!\Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff! response:	You sure are busy...
context: Disembodied Head Mogu Mogu\Hey!\It's done!\Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy... response:	This is my paradise!
context: Hey!\It's done!\Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise! response:	I should have bought some mandarins.
context: It's done!\Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise!\I should have bought some mandarins. response:	Let's go get some tomorrow.
context: Yep, it's done.\Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow. response:	Okay, Umaru?
context: Don't dive in!\It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru? response:	She already fell asleep?
context: It's such a confined space, yet why does it feel like heaven?\Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep? response:	They say it's easy to catch a cold if you let your upper body get cold...
context: Now that we've got the kotatsu out, I've gotta bring over some stuff!\You sure are busy...\This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold... response:	Hey, Umaru, wake up. You'll catch a cold.
context: You sure are busy...\This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold. response:	I guess I'll wake her up in an hour.
context: This is my paradise!\I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour. response:	Clementines
context: I should have bought some mandarins.\Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines response:	Wake up! Wake up!
context: Let's go get some tomorrow.\Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up! response:	You're in the way! Go sleep in your own room!
context: Okay, Umaru?\She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room! response:	Just one more hour...
context: She already fell asleep?\They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour... response:	Zuzashaan
context: They say it's easy to catch a cold if you let your upper body get cold...\Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan response:	December 24th
context: Hey, Umaru, wake up. You'll catch a cold.\I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan\December 24th response:	Merry Christmas!
context: I guess I'll wake her up in an hour.\Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan\December 24th\Merry Christmas! response:	Christmas... It is the celebration of winter!
context: Clementines\Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan\December 24th\Merry Christmas!\Christmas... It is the celebration of winter! response:	I'm sure people will go out at night to see the the lights.
