context: The Third Plate response:	Fifteen
context: The Third Plate\Fifteen response:	Tokyo International Airport
context: The Third Plate\Fifteen\Tokyo International Airport response:	The first-years should be in the middle of the second stage by now.
context: The Third Plate\Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now. response:	Who knows if we'll actually participate,
context: The Third Plate\Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate, response:	but it's always better to be prepared.
context: The Third Plate\Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared. response:	What's the matter, Akanegakubo?
context: The Third Plate\Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo? response:	I hate planes.
context: The Third Plate\Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes. response:	I don't want to go!
context: Fifteen\Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes.\I don't want to go! response:	Don't be a spoiled brat.
context: Tokyo International Airport\The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes.\I don't want to go!\Don't be a spoiled brat. response:	Let's go.
context: The first-years should be in the middle of the second stage by now.\Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes.\I don't want to go!\Don't be a spoiled brat.\Let's go. response:	No!
context: Who knows if we'll actually participate,\but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes.\I don't want to go!\Don't be a spoiled brat.\Let's go.\No! response:	Totsuki Elite Ten Akanegakubo Momo
context: but it's always better to be prepared.\What's the matter, Akanegakubo?\I hate planes.\I don't want to go!\Don't be a spoiled brat.\Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo response:	Totsuki Elite Ten Saito Somei
context: What's the matter, Akanegakubo?\I hate planes.\I don't want to go!\Don't be a spoiled brat.\Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei response:	It's great to tour Hokkaido for free!
context: I hate planes.\I don't want to go!\Don't be a spoiled brat.\Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free! response:	Totsuki Elite Ten Kinokuni Nene
context: I don't want to go!\Don't be a spoiled brat.\Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene response:	Totsuki Elite Ten Eizan Etsuya
context: Don't be a spoiled brat.\Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene\Totsuki Elite Ten Eizan Etsuya response:	Hey, Tsukasa, look!
context: Let's go.\No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene\Totsuki Elite Ten Eizan Etsuya\Hey, Tsukasa, look! response:	It looks really tasty!
context: No!\Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene\Totsuki Elite Ten Eizan Etsuya\Hey, Tsukasa, look!\It looks really tasty! response:	Rindo... Don't forget about the exams, okay?
context: Totsuki Elite Ten Akanegakubo Momo\Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene\Totsuki Elite Ten Eizan Etsuya\Hey, Tsukasa, look!\It looks really tasty!\Rindo... Don't forget about the exams, okay? response:	Totsuki Elite Ten Kobayashi Rindo
context: Totsuki Elite Ten Saito Somei\It's great to tour Hokkaido for free!\Totsuki Elite Ten Kinokuni Nene\Totsuki Elite Ten Eizan Etsuya\Hey, Tsukasa, look!\It looks really tasty!\Rindo... Don't forget about the exams, okay?\Totsuki Elite Ten Kobayashi Rindo response:	Former Totsuki Elite Ten 7th Seat Isshiki Satoshi
