context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Miss, that's dangerous!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous! response:	Phew, that was close...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close... response:	I haven't been able to find any decent jobs.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs. response:	What am I going to do about this month's rent?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent? response:	It'll work out somehow?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow? response:	I never realized you had such a positive outlook, Plue.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue. response:	No one's here...
context: and sit back from the screen,'kay?\Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here... response:	And why exactly do I get so tense every time I come home?
context: Miss, that's dangerous!\Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home? response:	Yeah, I have been through a lot.
context: Phew, that was close...\I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot. response:	Anyway, time for a bath!
context: I haven't been able to find any decent jobs.\What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath! response:	It's like I'm back from the dead!
context: What am I going to do about this month's rent?\It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead! response:	Hey, who're you callin' dead?!
context: It'll work out somehow?\I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?! response:	Comedy doesn't work so well when I'm doing both parts...
context: I never realized you had such a positive outlook, Plue.\No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts... response:	Wow, you actually do wilt if you get soaked in hot water.
context: No one's here...\And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water. response:	How cute!
context: And why exactly do I get so tense every time I come home?\Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute! response:	Battle of Fairy Tail!
context: Yeah, I have been through a lot.\Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail! response:	Good night!
context: Anyway, time for a bath!\It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail!\Good night! response:	Somethin' seems familiar here...
context: It's like I'm back from the dead!\Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail!\Good night!\Somethin' seems familiar here... response:	Good morning, Lucy.
context: Hey, who're you callin' dead?!\Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail!\Good night!\Somethin' seems familiar here...\Good morning, Lucy. response:	One: I'm over here!
context: Comedy doesn't work so well when I'm doing both parts...\Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail!\Good night!\Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here! response:	Two: This is my house!
context: Wow, you actually do wilt if you get soaked in hot water.\How cute!\Battle of Fairy Tail!\Good night!\Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here!\Two: This is my house! response:	Three: That is my bed!
context: How cute!\Battle of Fairy Tail!\Good night!\Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here!\Two: This is my house!\Three: That is my bed! response:	Aye...
context: Battle of Fairy Tail!\Good night!\Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here!\Two: This is my house!\Three: That is my bed!\Aye... response:	Get out!
context: Good night!\Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here!\Two: This is my house!\Three: That is my bed!\Aye...\Get out! response:	Nope, not happenin'...
context: Somethin' seems familiar here...\Good morning, Lucy.\One: I'm over here!\Two: This is my house!\Three: That is my bed!\Aye...\Get out!\Nope, not happenin'... response:	Is he even listening?
context: Good morning, Lucy.\One: I'm over here!\Two: This is my house!\Three: That is my bed!\Aye...\Get out!\Nope, not happenin'...\Is he even listening? response:	Give Natsu back his scarf...
context: One: I'm over here!\Two: This is my house!\Three: That is my bed!\Aye...\Get out!\Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf... response:	Now that you mention it, I never see him without it, do I?
context: Two: This is my house!\Three: That is my bed!\Aye...\Get out!\Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I? response:	He said that he got it from Igneel.
context: Three: That is my bed!\Aye...\Get out!\Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel. response:	Hey, is Natsu really okay?
context: Aye...\Get out!\Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay? response:	Yeah.
context: Get out!\Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah. response:	This is a side effect from when he ate Etherion.
context: Nope, not happenin'...\Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion. response:	Oh, it is?
context: Is he even listening?\Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion.\Oh, it is? response:	Aye. He got this way before when he ate Laxus's lightning once.
context: Give Natsu back his scarf...\Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once. response:	I guess eating magic other than fire isn't any good for him.
context: Now that you mention it, I never see him without it, do I?\He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him. response:	And wait, why did he eat Laxus's lightning?
context: He said that he got it from Igneel.\Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning? response:	Natsu challenged him in the past.
context: Hey, is Natsu really okay?\Yeah.\This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past. response:	Although he was wiped out instantly, of course.
context: Yeah.\This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course. response:	Laxus is seriously that powerful?
context: This is a side effect from when he ate Etherion.\Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful? response:	Aye! He's really majorly strong.
context: Oh, it is?\Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong. response:	Although there's Erza and Mystogan too...
context: Aye. He got this way before when he ate Laxus's lightning once.\I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too... response:	Mira used to be really dangerous herself.
context: I guess eating magic other than fire isn't any good for him.\And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself. response:	She was called the Demon.
context: And wait, why did he eat Laxus's lightning?\Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon. response:	Mira-san was what?
context: Natsu challenged him in the past.\Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what? response:	I wonder who would win if Fairy Tail held a contest to see who was the strongest?
context: Although he was wiped out instantly, of course.\Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what?\I wonder who would win if Fairy Tail held a contest to see who was the strongest? response:	I don't want us fellow wizards to be ranked like that.
context: Laxus is seriously that powerful?\Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what?\I wonder who would win if Fairy Tail held a contest to see who was the strongest?\I don't want us fellow wizards to be ranked like that. response:	There's also Gray and Elfman...
context: Aye! He's really majorly strong.\Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what?\I wonder who would win if Fairy Tail held a contest to see who was the strongest?\I don't want us fellow wizards to be ranked like that.\There's also Gray and Elfman... response:	Gajeel and Juvia are obviously strong too...
context: Although there's Erza and Mystogan too...\Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what?\I wonder who would win if Fairy Tail held a contest to see who was the strongest?\I don't want us fellow wizards to be ranked like that.\There's also Gray and Elfman...\Gajeel and Juvia are obviously strong too... response:	Sure, whatever.
context: Mira used to be really dangerous herself.\She was called the Demon.\Mira-san was what?\I wonder who would win if Fairy Tail held a contest to see who was the strongest?\I don't want us fellow wizards to be ranked like that.\There's also Gray and Elfman...\Gajeel and Juvia are obviously strong too...\Sure, whatever. response:	Everyone's awesome...
