context: Bring it on! response:	The part...
context: Bring it on!\The part... response:	It's responding...
context: Bring it on!\The part...\It's responding... response:	The time... has begun?!
context: Bring it on!\The part...\It's responding...\The time... has begun?! response:	Chaos...
context: Bring it on!\The part...\It's responding...\The time... has begun?!\Chaos... response:	The eternal midnight...
context: Bring it on!\The part...\It's responding...\The time... has begun?!\Chaos...\The eternal midnight... response:	Let me hear your voice...
context: Bring it on!\The part...\It's responding...\The time... has begun?!\Chaos...\The eternal midnight...\Let me hear your voice... response:	Who are you?
context: Bring it on!\The part...\It's responding...\The time... has begun?!\Chaos...\The eternal midnight...\Let me hear your voice...\Who are you? response:	Tell me...
context: The part...\It's responding...\The time... has begun?!\Chaos...\The eternal midnight...\Let me hear your voice...\Who are you?\Tell me... response:	Who are you?!
context: It's responding...\The time... has begun?!\Chaos...\The eternal midnight...\Let me hear your voice...\Who are you?\Tell me...\Who are you?! response:	You did a fine job, Kanaloa. Now rest for the time being.
context: The time... has begun?!\Chaos...\The eternal midnight...\Let me hear your voice...\Who are you?\Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being. response:	What the...?! The octopus shrank!
context: Chaos...\The eternal midnight...\Let me hear your voice...\Who are you?\Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank! response:	Down to bite-size... It looks yummy!
context: The eternal midnight...\Let me hear your voice...\Who are you?\Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy! response:	Are you a demon?!
context: Let me hear your voice...\Who are you?\Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?! response:	The Time Has Begun!
context: Who are you?\Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun! response:	Roar of the Fire Dragon!
context: Tell me...\Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon! response:	It's nullified?!
context: Who are you?!\You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?! response:	So magic doesn't work...
context: You did a fine job, Kanaloa. Now rest for the time being.\What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work... response:	Nullified, my ass! That doesn't matter!
context: What the...?! The octopus shrank!\Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter! response:	Bastard!
context: Down to bite-size... It looks yummy!\Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard! response:	We can't beat him like that!
context: Are you a demon?!\The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that! response:	Gate of the Goat, I open thee!
context: The Time Has Begun!\Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that!\Gate of the Goat, I open thee! response:	It's useless.
context: Roar of the Fire Dragon!\It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that!\Gate of the Goat, I open thee!\It's useless. response:	What...?!
context: It's nullified?!\So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that!\Gate of the Goat, I open thee!\It's useless.\What...?! response:	I can nullify all forms of magic.
context: So magic doesn't work...\Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that!\Gate of the Goat, I open thee!\It's useless.\What...?!\I can nullify all forms of magic. response:	That's my magic.
context: Nullified, my ass! That doesn't matter!\Bastard!\We can't beat him like that!\Gate of the Goat, I open thee!\It's useless.\What...?!\I can nullify all forms of magic.\That's my magic. response:	That's not fair!
context: Bastard!\We can't beat him like that!\Gate of the Goat, I open thee!\It's useless.\What...?!\I can nullify all forms of magic.\That's my magic.\That's not fair! response:	That's no different than when we were in Edolas!
context: We can't beat him like that!\Gate of the Goat, I open thee!\It's useless.\What...?!\I can nullify all forms of magic.\That's my magic.\That's not fair!\That's no different than when we were in Edolas! response:	Pain in the ass!
context: Gate of the Goat, I open thee!\It's useless.\What...?!\I can nullify all forms of magic.\That's my magic.\That's not fair!\That's no different than when we were in Edolas!\Pain in the ass! response:	Natsu!
context: It's useless.\What...?!\I can nullify all forms of magic.\That's my magic.\That's not fair!\That's no different than when we were in Edolas!\Pain in the ass!\Natsu! response:	Natsu-nii!
context: What...?!\I can nullify all forms of magic.\That's my magic.\That's not fair!\That's no different than when we were in Edolas!\Pain in the ass!\Natsu!\Natsu-nii! response:	This is nothin'!
context: I can nullify all forms of magic.\That's my magic.\That's not fair!\That's no different than when we were in Edolas!\Pain in the ass!\Natsu!\Natsu-nii!\This is nothin'! response:	I scrap with Gray all year'round, so I'm used to it!
context: That's my magic.\That's not fair!\That's no different than when we were in Edolas!\Pain in the ass!\Natsu!\Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it! response:	This kind of fight...
context: That's not fair!\That's no different than when we were in Edolas!\Pain in the ass!\Natsu!\Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight... response:	Oh, no! I overslept!
context: That's no different than when we were in Edolas!\Pain in the ass!\Natsu!\Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept! response:	Whew, boy...
context: Pain in the ass!\Natsu!\Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept!\Whew, boy... response:	In my dream, even Titania confessed her love for me...
context: Natsu!\Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me... response:	Happy!
context: Natsu-nii!\This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me...\Happy! response:	Aye, sir!
context: This is nothin'!\I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me...\Happy!\Aye, sir! response:	What a pain...
context: I scrap with Gray all year'round, so I'm used to it!\This kind of fight...\Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me...\Happy!\Aye, sir!\What a pain... response:	He even cancelled my ability to fly.
context: This kind of fight...\Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me...\Happy!\Aye, sir!\What a pain...\He even cancelled my ability to fly. response:	Figured it wouldn't work...
context: Oh, no! I overslept!\Whew, boy...\In my dream, even Titania confessed her love for me...\Happy!\Aye, sir!\What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work... response:	You figured?!
context: Whew, boy...\In my dream, even Titania confessed her love for me...\Happy!\Aye, sir!\What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?! response:	I told you I nullify everything.
context: In my dream, even Titania confessed her love for me...\Happy!\Aye, sir!\What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?!\I told you I nullify everything. response:	Do you listen when someone's talking to you?
context: Happy!\Aye, sir!\What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you? response:	If we can't use magic, we can't do anything!
context: Aye, sir!\What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything! response:	There has to be some way!
context: What a pain...\He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way! response:	Natsu! How are you gonna attack?
context: He even cancelled my ability to fly.\Figured it wouldn't work...\You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack? response:	I just thought of somethin' awesome!
context: Figured it wouldn't work...\You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome! response:	When we first split up, Gildarts was using magic, right?!
context: You figured?!\I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?! response:	Then if I beat him without magic,
context: I told you I nullify everything.\Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic, response:	it'll be like I beat Gildarts!
context: Do you listen when someone's talking to you?\If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts! response:	Yeah! I'm all fired up!
context: If we can't use magic, we can't do anything!\There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up! response:	For better or worse, you are positive, Natsu.
context: There has to be some way!\Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu. response:	Even though I told you that the fate of the world is at stake,
context: Natsu! How are you gonna attack?\I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake, response:	all you care about is winning or losing for yourself...
context: I just thought of somethin' awesome!\When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself... response:	What's wrong with that?!
context: When we first split up, Gildarts was using magic, right?!\Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?! response:	The weight that we bear on our shoulders is different from yours.
context: Then if I beat him without magic,\it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours. response:	We're prepared to throw away our lives for the sake of our duty.
context: it'll be like I beat Gildarts!\Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty. response:	We're back to that again?
context: Yeah! I'm all fired up!\For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again? response:	Take a good look, Coco.
