context: Just up ahead, I'll defeat Erza... response:	and become an S Class wizard!
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard! response:	Somebody's there!
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there! response:	Who could it be?
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there!\Who could it be? response:	Gildarts!
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there!\Who could it be?\Gildarts! response:	Hello there, Natsu.
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu. response:	You drew the short straw, huh?
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh? response:	It's over...
context: Just up ahead, I'll defeat Erza...\and become an S Class wizard!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over... response:	Recently, on Fairy Tail...
context: and become an S Class wizard!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\Recently, on Fairy Tail... response:	What is it?
context: Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\Recently, on Fairy Tail...\What is it? response:	The bells are ringing?
context: Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\Recently, on Fairy Tail...\What is it?\The bells are ringing? response:	Them ringing like this means...
context: Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\Recently, on Fairy Tail...\What is it?\The bells are ringing?\Them ringing like this means... response:	Aye!
context: Hello there, Natsu.\You drew the short straw, huh?\It's over...\Recently, on Fairy Tail...\What is it?\The bells are ringing?\Them ringing like this means...\Aye! response:	Gildarts has come back!
context: You drew the short straw, huh?\It's over...\Recently, on Fairy Tail...\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Gildarts has come back! response:	Aye, sir!
context: It's over...\Recently, on Fairy Tail...\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Gildarts has come back!\Aye, sir! response:	Not like I care, but what's the celebration about?
context: Recently, on Fairy Tail...\What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about? response:	It's like a festival, Carla!
context: What is it?\The bells are ringing?\Them ringing like this means...\Aye!\Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla! response:	Definitely one festive guild...
context: The bells are ringing?\Them ringing like this means...\Aye!\Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild... response:	It's only natural for everyone to celebrate.
context: Them ringing like this means...\Aye!\Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate. response:	It's been about three years since he came back.
context: Aye!\Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back. response:	So, the entire city was reconstructed with this in mind?!
context: Gildarts has come back!\Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?! response:	That's amazing! Isn't it, Carla?
context: Aye, sir!\Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla? response:	Yes. Amazingly stupid.
