context: Sorry to keep you waiting, Ayato. response:	- That was a close shave, wasn't it? - Claudia!
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia! response:	Julis!
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis! response:	Erenshkigal...
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal... response:	Ophelia!
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal...\Ophelia! response:	I see.
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal...\Ophelia!\I see. response:	So then I passed out.
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal...\Ophelia!\I see.\So then I passed out. response:	Uh...
context: Sorry to keep you waiting, Ayato.\- That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal...\Ophelia!\I see.\So then I passed out.\Uh... response:	So you're finally up, then?
context: - That was a close shave, wasn't it? - Claudia!\Julis!\Erenshkigal...\Ophelia!\I see.\So then I passed out.\Uh...\So you're finally up, then? response:	Julis...
context: Julis!\Erenshkigal...\Ophelia!\I see.\So then I passed out.\Uh...\So you're finally up, then?\Julis... response:	Thank goodness...
context: Erenshkigal...\Ophelia!\I see.\So then I passed out.\Uh...\So you're finally up, then?\Julis...\Thank goodness... response:	You didn't wake up for three days straight.
context: Ophelia!\I see.\So then I passed out.\Uh...\So you're finally up, then?\Julis...\Thank goodness...\You didn't wake up for three days straight. response:	You had me worried.
context: I see.\So then I passed out.\Uh...\So you're finally up, then?\Julis...\Thank goodness...\You didn't wake up for three days straight.\You had me worried. response:	For three days?
context: So then I passed out.\Uh...\So you're finally up, then?\Julis...\Thank goodness...\You didn't wake up for three days straight.\You had me worried.\For three days? response:	These two must've really been worried.
context: Uh...\So you're finally up, then?\Julis...\Thank goodness...\You didn't wake up for three days straight.\You had me worried.\For three days?\These two must've really been worried. response:	They've been hovering over you every day.
context: So you're finally up, then?\Julis...\Thank goodness...\You didn't wake up for three days straight.\You had me worried.\For three days?\These two must've really been worried.\They've been hovering over you every day. response:	You should show them your appreciation later.
context: Julis...\Thank goodness...\You didn't wake up for three days straight.\You had me worried.\For three days?\These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later. response:	Also...
context: Thank goodness...\You didn't wake up for three days straight.\You had me worried.\For three days?\These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later.\Also... response:	I never thanked you myself, did I?
context: You didn't wake up for three days straight.\You had me worried.\For three days?\These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later.\Also...\I never thanked you myself, did I? response:	Thank me?
context: You had me worried.\For three days?\These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later.\Also...\I never thanked you myself, did I?\Thank me? response:	I hear that not only Ophelia, but even Gustave showed up.
context: For three days?\These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later.\Also...\I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up. response:	Sorry about that. Seriously, you saved me.
context: These two must've really been worried.\They've been hovering over you every day.\You should show them your appreciation later.\Also...\I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me. response:	Hey, don't mention it.
context: They've been hovering over you every day.\You should show them your appreciation later.\Also...\I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it. response:	I hope you're not going to say I'm indebted to you now.
context: You should show them your appreciation later.\Also...\I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now. response:	No.
context: Also...\I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No. response:	I just wanted to make sure I thanked you.
context: I never thanked you myself, did I?\Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you. response:	So...
context: Thank me?\I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you.\So... response:	how about telling me about it?
context: I hear that not only Ophelia, but even Gustave showed up.\Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you.\So...\how about telling me about it? response:	Your relationship with that girl...
context: Sorry about that. Seriously, you saved me.\Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you.\So...\how about telling me about it?\Your relationship with that girl... response:	Ophelia Landlufen...
context: Hey, don't mention it.\I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you.\So...\how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen... response:	You remember this, don't you?
context: I hope you're not going to say I'm indebted to you now.\No.\I just wanted to make sure I thanked you.\So...\how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you? response:	Sure.
context: No.\I just wanted to make sure I thanked you.\So...\how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you?\Sure. response:	Isn't that the handkerchief everybody at the orphanage embroidered for you...
context: I just wanted to make sure I thanked you.\So...\how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you... response:	and your best friend sewed for you?
context: So...\how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you? response:	She didn't like fighting...
context: how about telling me about it?\Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting... response:	and she was a truly kind-hearted girl.
context: Your relationship with that girl...\Ophelia Landlufen...\You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl. response:	No way.
context: Ophelia Landlufen...\You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl.\No way. response:	Right.
context: You remember this, don't you?\Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl.\No way.\Right. response:	The one who sewed this for me...
context: Sure.\Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl.\No way.\Right.\The one who sewed this for me... response:	Reunion
context: Isn't that the handkerchief everybody at the orphanage embroidered for you...\and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl.\No way.\Right.\The one who sewed this for me...\Reunion response:	What on earth is so fun about doing that?
context: and your best friend sewed for you?\She didn't like fighting...\and she was a truly kind-hearted girl.\No way.\Right.\The one who sewed this for me...\Reunion\What on earth is so fun about doing that? response:	See, plants are really honest.
context: She didn't like fighting...\and she was a truly kind-hearted girl.\No way.\Right.\The one who sewed this for me...\Reunion\What on earth is so fun about doing that?\See, plants are really honest. response:	If you suffuse them with love, they'll love you right back,
context: and she was a truly kind-hearted girl.\No way.\Right.\The one who sewed this for me...\Reunion\What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back, response:	but if you neglect them, they'll abandon you.
context: No way.\Right.\The one who sewed this for me...\Reunion\What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you. response:	Abandon? Plants... abandon humans?
context: Right.\The one who sewed this for me...\Reunion\What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans? response:	Plants that aren't even sick wither and die
context: The one who sewed this for me...\Reunion\What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die response:	because they've had it with humans.
context: Reunion\What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans. response:	There was nothing she enjoyed more than caring for plants.
context: What on earth is so fun about doing that?\See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants. response:	She couldn't even bring herself to kill an insect.
context: See, plants are really honest.\If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants.\She couldn't even bring herself to kill an insect. response:	Whenever beautiful flowers came into bloom,
context: If you suffuse them with love, they'll love you right back,\but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants.\She couldn't even bring herself to kill an insect.\Whenever beautiful flowers came into bloom, response:	she would get so excited.
context: but if you neglect them, they'll abandon you.\Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants.\She couldn't even bring herself to kill an insect.\Whenever beautiful flowers came into bloom,\she would get so excited. response:	Then...
context: Abandon? Plants... abandon humans?\Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants.\She couldn't even bring herself to kill an insect.\Whenever beautiful flowers came into bloom,\she would get so excited.\Then... response:	what about yesterday?
context: Plants that aren't even sick wither and die\because they've had it with humans.\There was nothing she enjoyed more than caring for plants.\She couldn't even bring herself to kill an insect.\Whenever beautiful flowers came into bloom,\she would get so excited.\Then...\what about yesterday? response:	That gutted building you saw on the snowy plain yesterday
