context: C- could he have fallen asleep? response:	I don't know...
context: C- could he have fallen asleep?\I don't know... response:	U- um...
context: C- could he have fallen asleep?\I don't know...\U- um... response:	Because of those villains, most of my children across this world have been killed.
context: C- could he have fallen asleep?\I don't know...\U- um...\Because of those villains, most of my children across this world have been killed. response:	This is grievous.
context: C- could he have fallen asleep?\I don't know...\U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous. response:	They appear to be after the Dragon Balls.
context: C- could he have fallen asleep?\I don't know...\U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls. response:	Yes.
context: C- could he have fallen asleep?\I don't know...\U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls.\Yes. response:	To think that this would happen because of these Balls of hope,
context: C- could he have fallen asleep?\I don't know...\U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope, response:	testament to the wisdom and power of the Namekians...
context: I don't know...\U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians... response:	Excuse me for coming right to the point, but could I ask you to let me borrow
context: U- um...\Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow response:	the Dragon Ball over your head for a short while?
context: Because of those villains, most of my children across this world have been killed.\This is grievous.\They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while? response:	I absolutely will not turn it over to them! I promise you!
context: This is grievous.\They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you! response:	You are gathering the Dragon Balls too, are you?
context: They appear to be after the Dragon Balls.\Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you? response:	Yes. We would like to bring our dead friends back to life.
context: Yes.\To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life. response:	I ask on my behalf, as well.
context: To think that this would happen because of these Balls of hope,\testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well. response:	Grand Elder- sama, if these people's friends come back to life,
context: testament to the wisdom and power of the Namekians...\Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life, response:	they may be able to defeat those bad people.
context: Excuse me for coming right to the point, but could I ask you to let me borrow\the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people. response:	How do you know of the Dragon Balls?
context: the Dragon Ball over your head for a short while?\I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls? response:	We had them on Earth as well.
context: I absolutely will not turn it over to them! I promise you!\You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well. response:	What did you say!?
context: You are gathering the Dragon Balls too, are you?\Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!? response:	Long ago, during this planet's crisis,
context: Yes. We would like to bring our dead friends back to life.\I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis, response:	there was a Namekian who made his way to Earth.
context: I ask on my behalf, as well.\Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth. response:	That person created our Dragon Balls.
context: Grand Elder- sama, if these people's friends come back to life,\they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls. response:	Is that so? I remember now. Katattsu's child. What a surprise.
