context: Anyway, I won't leave you before you meet your destined calamity. response:	Who told you that I'm going to meet my destined calamity?
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity? response:	Are you not?
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not? response:	Look at me.
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me. response:	Do I look like I'd die soon?
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me.\Do I look like I'd die soon? response:	You... You don't.
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me.\Do I look like I'd die soon?\You... You don't. response:	I don't care who told me about it.
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me.\Do I look like I'd die soon?\You... You don't.\I don't care who told me about it. response:	You're going to meet your calamity soon.
context: Anyway, I won't leave you before you meet your destined calamity.\Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me.\Do I look like I'd die soon?\You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon. response:	Before that happens, I'll never leave you, no matter what.
context: Who told you that I'm going to meet my destined calamity?\Are you not?\Look at me.\Do I look like I'd die soon?\You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what. response:	I'll stay by your side every day.
context: Are you not?\Look at me.\Do I look like I'd die soon?\You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day. response:	I won't waste a minute on anyone else.
context: Look at me.\Do I look like I'd die soon?\You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else. response:	I'll cook you anything you wish to eat.
context: Do I look like I'd die soon?\You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat. response:	I'll go wherever you wish to go.
context: You... You don't.\I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go. response:	Your father is here.
context: I don't care who told me about it.\You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here. response:	It won't chang anything even if my father is here.
context: You're going to meet your calamity soon.\Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here. response:	I won't listen to anyone!
context: Before that happens, I'll never leave you, no matter what.\I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone! response:	Lord Dong Hua.
context: I'll stay by your side every day.\I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua. response:	What brings High God Bai Yi to the Nine Heavens so suddenly?
context: I won't waste a minute on anyone else.\I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly? response:	I'm here to discuss my sister's wedding.
context: I'll cook you anything you wish to eat.\I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding. response:	That's right.
context: I'll go wherever you wish to go.\Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right. response:	The marriage between the Celestial Tribe
context: Your father is here.\It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe response:	and Nine-tailed Fox Clan is an important matter.
context: It won't chang anything even if my father is here.\I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter. response:	I'd better not keep you from it.
context: I won't listen to anyone!\Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it. response:	I'll take my leave.
context: Lord Dong Hua.\What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave. response:	Father...
context: What brings High God Bai Yi to the Nine Heavens so suddenly?\I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave.\Father... response:	You still know that you have a father?
context: I'm here to discuss my sister's wedding.\That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave.\Father...\You still know that you have a father? response:	Father, no matter how hard you beat me up this time
context: That's right.\The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave.\Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time response:	I must stay here in the Nine Heavens to keep Lord Dong Hua company.
context: The marriage between the Celestial Tribe\and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave.\Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company. response:	You really can't give him up?
context: and Nine-tailed Fox Clan is an important matter.\I'd better not keep you from it.\I'll take my leave.\Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up? response:	I can't.
context: I'd better not keep you from it.\I'll take my leave.\Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't. response:	Are you thinking about that time when I took you to the mountain?
context: I'll take my leave.\Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain? response:	During the 20,000 years I'd trained in Kunlun Mountain
context: Father...\You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain response:	we always kept a low profile.
context: You still know that you have a father?\Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile. response:	It's only been 70,000 years, and we now keep such a high profile?
context: Father, no matter how hard you beat me up this time\I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile? response:	They are just in awe.
context: I must stay here in the Nine Heavens to keep Lord Dong Hua company.\You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe. response:	Once they heard that High God Mo Yuan had returned
context: You really can't give him up?\I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned response:	they came immediately to worship him.
context: I can't.\Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him. response:	Kunlun Mountain is formed by a protruding dragon's bone.
context: Are you thinking about that time when I took you to the mountain?\During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone. response:	Perhaps it's detected that Mo Yuan will soon return
context: During the 20,000 years I'd trained in Kunlun Mountain\we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return response:	so it's welcoming him back with the divine energy
context: we always kept a low profile.\It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy response:	and hence attracted all these little deities here.
context: It's only been 70,000 years, and we now keep such a high profile?\They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here. response:	So as not to disturb half a mountain full of little deities from their fun
context: They are just in awe.\Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun response:	we'd better go invisible.
context: Once they heard that High God Mo Yuan had returned\they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible. response:	Yes.
context: they came immediately to worship him.\Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes. response:	High God Mo Yuan!
context: Kunlun Mountain is formed by a protruding dragon's bone.\Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes.\High God Mo Yuan! response:	High God Mo Yuan?
context: Perhaps it's detected that Mo Yuan will soon return\so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes.\High God Mo Yuan!\High God Mo Yuan? response:	That was High God Mo Yuan in the front!
context: so it's welcoming him back with the divine energy\and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes.\High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front! response:	Greetings to Master!
context: and hence attracted all these little deities here.\So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes.\High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master! response:	I've kept all of you waiting.
context: So as not to disturb half a mountain full of little deities from their fun\we'd better go invisible.\Yes.\High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting. response:	- Master! - Master!
context: we'd better go invisible.\Yes.\High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting.\- Master! - Master! response:	Zi Lan sent us news a few days ago that
context: Yes.\High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that response:	the divine energy in Kunlun Mountain rose greatly
