context: Gust of wind... response:	Yes!
context: Gust of wind...\Yes! response:	The sound of birds crossing...
context: Gust of wind...\Yes!\The sound of birds crossing... response:	What do I do?
context: Gust of wind...\Yes!\The sound of birds crossing...\What do I do? response:	I can hear everything.
context: Gust of wind...\Yes!\The sound of birds crossing...\What do I do?\I can hear everything. response:	I can hear the sound,
context: Gust of wind...\Yes!\The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound, response:	but my body, my left hand won't...
context: Gust of wind...\Yes!\The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound,\but my body, my left hand won't... response:	Chihaya Furu
context: Gust of wind...\Yes!\The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound,\but my body, my left hand won't...\Chihaya Furu response:	Episode 21
context: Yes!\The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound,\but my body, my left hand won't...\Chihaya Furu\Episode 21 response:	But its legacy continues to spread
context: The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound,\but my body, my left hand won't...\Chihaya Furu\Episode 21\But its legacy continues to spread response:	awakens the guards of Suma Gate at night
context: What do I do?\I can hear everything.\I can hear the sound,\but my body, my left hand won't...\Chihaya Furu\Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night response:	My life means nothing...
context: I can hear everything.\I can hear the sound,\but my body, my left hand won't...\Chihaya Furu\Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing... response:	She's swinging at multiple cards?
context: I can hear the sound,\but my body, my left hand won't...\Chihaya Furu\Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards? response:	In order to restore...
context: but my body, my left hand won't...\Chihaya Furu\Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards?\In order to restore... response:	She hit seven cards there.
context: Chihaya Furu\Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards?\In order to restore...\She hit seven cards there. response:	She counts as a man
context: Episode 21\But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards?\In order to restore...\She hit seven cards there.\She counts as a man response:	Porky was right.
context: But its legacy continues to spread\awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards?\In order to restore...\She hit seven cards there.\She counts as a man\Porky was right. response:	Strong swing!
context: awakens the guards of Suma Gate at night\My life means nothing...\She's swinging at multiple cards?\In order to restore...\She hit seven cards there.\She counts as a man\Porky was right.\Strong swing! response:	She's powerful!
context: My life means nothing...\She's swinging at multiple cards?\In order to restore...\She hit seven cards there.\She counts as a man\Porky was right.\Strong swing!\She's powerful! response:	Calm down.
context: She's swinging at multiple cards?\In order to restore...\She hit seven cards there.\She counts as a man\Porky was right.\Strong swing!\She's powerful!\Calm down. response:	The match has just begun.
context: In order to restore...\She hit seven cards there.\She counts as a man\Porky was right.\Strong swing!\She's powerful!\Calm down.\The match has just begun. response:	My reach and pivot point are completely different.
context: She hit seven cards there.\She counts as a man\Porky was right.\Strong swing!\She's powerful!\Calm down.\The match has just begun.\My reach and pivot point are completely different. response:	I feel bad about her injury,
context: She counts as a man\Porky was right.\Strong swing!\She's powerful!\Calm down.\The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury, response:	but she thinks she'll win with her left hand?
context: Porky was right.\Strong swing!\She's powerful!\Calm down.\The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand? response:	That's absurd.
context: Strong swing!\She's powerful!\Calm down.\The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd. response:	This is my chance
context: She's powerful!\Calm down.\The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd.\This is my chance response:	to avenge our loss yesterday!
context: Calm down.\The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd.\This is my chance\to avenge our loss yesterday! response:	My stance is towards the other side.
context: The match has just begun.\My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd.\This is my chance\to avenge our loss yesterday!\My stance is towards the other side. response:	My center of gravity is on the other side.
context: My reach and pivot point are completely different.\I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd.\This is my chance\to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side. response:	I usually put my weight on my left knee,
context: I feel bad about her injury,\but she thinks she'll win with her left hand?\That's absurd.\This is my chance\to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee, response:	but now it's on the right.
context: but she thinks she'll win with her left hand?\That's absurd.\This is my chance\to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right. response:	I can't think too much about it!
context: That's absurd.\This is my chance\to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it! response:	Use a natural stance.
context: This is my chance\to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it!\Use a natural stance. response:	After many, many years...
context: to avenge our loss yesterday!\My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it!\Use a natural stance.\After many, many years... response:	My hand will reach.
context: My stance is towards the other side.\My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it!\Use a natural stance.\After many, many years...\My hand will reach. response:	I just have to swing!
context: My center of gravity is on the other side.\I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it!\Use a natural stance.\After many, many years...\My hand will reach.\I just have to swing! response:	now bloom inside the nine-fold palace
context: I usually put my weight on my left knee,\but now it's on the right.\I can't think too much about it!\Use a natural stance.\After many, many years...\My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace response:	For you, I head out to the fields...
context: but now it's on the right.\I can't think too much about it!\Use a natural stance.\After many, many years...\My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields... response:	Yes! Yes! Yes!
context: I can't think too much about it!\Use a natural stance.\After many, many years...\My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes! response:	It won't work...
context: Use a natural stance.\After many, many years...\My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes!\It won't work... response:	I've never practiced covering with my left hand...
context: After many, many years...\My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand... response:	Those girls are very similar. They're both easy to read.
context: My hand will reach.\I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read. response:	while snow falls upon my sleeves
context: I just have to swing!\now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves response:	The hazed early dawn
context: now bloom inside the nine-fold palace\For you, I head out to the fields...\Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn response:	A multi-syllable card on the opponent's side!
context: For you, I head out to the fields...\Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side! response:	She covered!
context: Yes! Yes! Yes!\It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side!\She covered! response:	mist over the Kawagiri River
context: It won't work...\I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River response:	Huh?
context: I've never practiced covering with my left hand...\Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River\Huh? response:	Wait, I touched it?
context: Those girls are very similar. They're both easy to read.\while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River\Huh?\Wait, I touched it? response:	Who got it?!
context: while snow falls upon my sleeves\The hazed early dawn\A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River\Huh?\Wait, I touched it?\Who got it?! response:	Was Yuube-san faster?
context: The hazed early dawn\A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River\Huh?\Wait, I touched it?\Who got it?!\Was Yuube-san faster? response:	You won that card!
context: A multi-syllable card on the opponent's side!\She covered!\mist over the Kawagiri River\Huh?\Wait, I touched it?\Who got it?!\Was Yuube-san faster?\You won that card! response:	Honest
context: She covered!\mist over the Kawagiri River\Huh?\Wait, I touched it?\Who got it?!\Was Yuube-san faster?\You won that card!\Honest response:	I've never thought about how to use my left hand,
context: mist over the Kawagiri River\Huh?\Wait, I touched it?\Who got it?!\Was Yuube-san faster?\You won that card!\Honest\I've never thought about how to use my left hand, response:	or how to approach the card with it.
context: Huh?\Wait, I touched it?\Who got it?!\Was Yuube-san faster?\You won that card!\Honest\I've never thought about how to use my left hand,\or how to approach the card with it. response:	How do left-handed players see a right-handed cover?
context: Wait, I touched it?\Who got it?!\Was Yuube-san faster?\You won that card!\Honest\I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover? response:	Yuube-san just lost The hazed early dawn mist on the outside,
context: Who got it?!\Was Yuube-san faster?\You won that card!\Honest\I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside, response:	but she has another multi-syllable card, My only thought as I,
context: Was Yuube-san faster?\You won that card!\Honest\I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I, response:	at her lower right.
context: You won that card!\Honest\I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right. response:	Right-handed players only know
context: Honest\I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know response:	how to play against other right-handed players.
context: I've never thought about how to use my left hand,\or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know\how to play against other right-handed players. response:	But for a left-handed player...
context: or how to approach the card with it.\How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know\how to play against other right-handed players.\But for a left-handed player... response:	My only thought as I am put out to sea is to ask the fishermen
context: How do left-handed players see a right-handed cover?\Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know\how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen response:	It's open to take!
context: Yuube-san just lost The hazed early dawn mist on the outside,\but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know\how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take! response:	I lost two cards the same way...
context: but she has another multi-syllable card, My only thought as I,\at her lower right.\Right-handed players only know\how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way... response:	Ayase-san's doing a wonderful job.
context: at her lower right.\Right-handed players only know\how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job. response:	Is she actually left-handed?
context: Right-handed players only know\how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed? response:	She's winning multi-syllable cards she's struggled with.
context: how to play against other right-handed players.\But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with. response:	I can do this.
context: But for a left-handed player...\My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this. response:	I can do this!
context: My only thought as I am put out to sea is to ask the fishermen\It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this! response:	I can come back.
