context: The Third Plate response:	Twenty-One
context: The Third Plate\Twenty-One response:	Nakamura-senpai said earlier today that you'd soloed
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed response:	a Team Shokugeki against fifty opponents.
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents. response:	Right.
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right. response:	Well, I guess that did happen.
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen. response:	And Nakamura-senpai was in the Polar Star Dormitory like you, right?
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right? response:	If that's true,
context: The Third Plate\Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true, response:	why'd he start talking about shutting down the dorm and changing up the academy?
context: Twenty-One\Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy? response:	What is this, 21 Questions?
context: Nakamura-senpai said earlier today that you'd soloed\a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions? response:	I'm just starting to figure out that I actually don't know
context: a Team Shokugeki against fifty opponents.\Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know response:	what kind of chef you were before.
