context: No matter what you say, you are the criminal who hurt my brother! response:	That's why you'll die.
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die. response:	Villain - Stain - Quirk: Bloodcurdle
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle response:	M-My body won't move...
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move... response:	Goodbye. You're an offering to a more just world.
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world. response:	I won't forgive you...
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you... response:	I'll kill you!
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you! response:	Smash!
context: No matter what you say, you are the criminal who hurt my brother!\That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you!\Smash! response:	Izuku Midoriya - Quirk: One For All
context: That's why you'll die.\Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All response:	I came to save you, Iida!
context: Villain - Stain - Quirk: Bloodcurdle\M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida! response:	Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: M-My body won't move...\Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	You made me late.
context: Goodbye. You're an offering to a more just world.\I won't forgive you...\I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late. response:	Tenya Iida - Quirk: Engine
context: I won't forgive you...\I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine response:	Midoriya...?
context: I'll kill you!\Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine\Midoriya...? response:	Todoroki...
context: Smash!\Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki... response:	The two of us will protect them!
context: Izuku Midoriya - Quirk: One For All\I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki...\The two of us will protect them! response:	Why are you two...
context: I came to save you, Iida!\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki...\The two of us will protect them!\Why are you two... response:	Why...
context: Shoto Todoroki - Quirk: Half-Cold, Half-Hot\You made me late.\Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki...\The two of us will protect them!\Why are you two...\Why... response:	Please, stop!
context: You made me late.\Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki...\The two of us will protect them!\Why are you two...\Why...\Please, stop! response:	I've inherited my brother's name.
context: Tenya Iida - Quirk: Engine\Midoriya...?\Todoroki...\The two of us will protect them!\Why are you two...\Why...\Please, stop!\I've inherited my brother's name. response:	I have to do it...
context: Midoriya...?\Todoroki...\The two of us will protect them!\Why are you two...\Why...\Please, stop!\I've inherited my brother's name.\I have to do it... response:	That guy's mine...!
context: Todoroki...\The two of us will protect them!\Why are you two...\Why...\Please, stop!\I've inherited my brother's name.\I have to do it...\That guy's mine...! response:	Sorry, Todoroki.
context: The two of us will protect them!\Why are you two...\Why...\Please, stop!\I've inherited my brother's name.\I have to do it...\That guy's mine...!\Sorry, Todoroki. response:	Please stop...
context: Why are you two...\Why...\Please, stop!\I've inherited my brother's name.\I have to do it...\That guy's mine...!\Sorry, Todoroki.\Please stop... response:	I'm... already...
context: Why...\Please, stop!\I've inherited my brother's name.\I have to do it...\That guy's mine...!\Sorry, Todoroki.\Please stop...\I'm... already... response:	If you want us to stop, then stand up!
