context: Why can't you just sleep here? response:	Now
context: Why can't you just sleep here?\Now response:	You have a new message.
context: Why can't you just sleep here?\Now\You have a new message. response:	Where are you?
context: Why can't you just sleep here?\Now\You have a new message.\Where are you? response:	Mizuhara
context: Why can't you just sleep here?\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: Why can't you just sleep here?\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: Why can't you just sleep here?\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: Why can't you just sleep here?\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	If you don't hurry up
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up response:	Mizuhara
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up\Mizuhara response:	I'll charge you for an extension
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up\Mizuhara\I'll charge you for an extension response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: Mizuhara\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	Damn, my heart's about to jump out my mouth.
