context: Byousoku 5 Centimeters response:	Chapter 1
context: Byousoku 5 Centimeters\Chapter 1 response:	Hey
context: Byousoku 5 Centimeters\Chapter 1\Hey response:	They say it's 5 centimeters per second.
context: Byousoku 5 Centimeters\Chapter 1\Hey\They say it's 5 centimeters per second. response:	Hmm... What's that?
context: Byousoku 5 Centimeters\Chapter 1\Hey\They say it's 5 centimeters per second.\Hmm... What's that? response:	The speed at which cherry blossom petals fall, 5 centimeters per second.
context: Byousoku 5 Centimeters\Chapter 1\Hey\They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second. response:	Hmmm...
context: Byousoku 5 Centimeters\Chapter 1\Hey\They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm... response:	You seem to know a lot, Akari.
context: Byousoku 5 Centimeters\Chapter 1\Hey\They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari. response:	Heh...
context: Chapter 1\Hey\They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari.\Heh... response:	Hey... doesn't it somehow resemble snow?
context: Hey\They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow? response:	I wonder...
context: They say it's 5 centimeters per second.\Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow?\I wonder... response:	Hey!
context: Hmm... What's that?\The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow?\I wonder...\Hey! response:	Wait up!
context: The speed at which cherry blossom petals fall, 5 centimeters per second.\Hmmm...\You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow?\I wonder...\Hey!\Wait up! response:	Akari!
context: Hmmm...\You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow?\I wonder...\Hey!\Wait up!\Akari! response:	Takaki-kun!
context: You seem to know a lot, Akari.\Heh...\Hey... doesn't it somehow resemble snow?\I wonder...\Hey!\Wait up!\Akari!\Takaki-kun! response:	Next year, wouldn't it be good to watch the cherry blossoms together again?
context: Heh...\Hey... doesn't it somehow resemble snow?\I wonder...\Hey!\Wait up!\Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again? response:	Oukashou
context: Hey... doesn't it somehow resemble snow?\I wonder...\Hey!\Wait up!\Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou response:	Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.
context: I wonder...\Hey!\Wait up!\Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while. response:	It's hot during summer over here... however,
context: Hey!\Wait up!\Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however, response:	it's much cooler compared to Tokyo.
context: Wait up!\Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo. response:	But come to think of it, I still prefer the sweltering summer in Tokyo.
context: Akari!\Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo. response:	The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,
