context: akirame wa shinai dare ni mo watasenai response:	kono yume dake wa kakegaenai mono
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono response:	kuyashinamida nara gutto korareta ano hi
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi response:	kodoku no kazu dake purasu ni kaeteku sutoorii
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii response:	norikoetemo sugu arata na genjitsu
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu response:	kirihiraiteyuku mirai kono te de
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de response:	kokoro no oku mamoritai yume ga aru kara
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara response:	shinjiteyuke oi kaze ni notte
context: akirame wa shinai dare ni mo watasenai\kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte response:	mezasu basho wa tada hitotsu kimi to waraitai
context: kono yume dake wa kakegaenai mono\kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai response:	boku ni takushitekureta yume he tsunagaru hikari
context: kuyashinamida nara gutto korareta ano hi\kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari response:	kimi wo tsureteku kara mada minu ashita he ima
context: kodoku no kazu dake purasu ni kaeteku sutoorii\norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima response:	Dream of Life
context: norikoetemo sugu arata na genjitsu\kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life response:	furikaeru to tashika na ashiato ga
context: kirihiraiteyuku mirai kono te de\kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga response:	ikutsumo no nayami yorokobi de dekiteita
context: kokoro no oku mamoritai yume ga aru kara\shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita response:	kyou made ikita boku nari no akashi wa tsuyosa he
context: shinjiteyuke oi kaze ni notte\mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he response:	mune ni kizami mae he fumidashiteku n da
context: mezasu basho wa tada hitotsu kimi to waraitai\boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da response:	kokorozashita tsukamitai yume ga aru kara
context: boku ni takushitekureta yume he tsunagaru hikari\kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara response:	moyashiteyuke jounetsu wo atsuku
context: kimi wo tsureteku kara mada minu ashita he ima\Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: Dream of Life\furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshiete kureta boku dake ga motsu chikara
context: furikaeru to tashika na ashiato ga\ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara response:	tachiagatteku n da yo nando tsumazuita tte
context: ikutsumo no nayami yorokobi de dekiteita\kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte response:	Dream of Life
context: kyou made ikita boku nari no akashi wa tsuyosa he\mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life response:	I won't give up on it, won't be persuaded
context: mune ni kizami mae he fumidashiteku n da\kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded response:	My dream is the one irreplaceable thing
context: kokorozashita tsukamitai yume ga aru kara\moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing response:	The chagrin I've felt I always bore with pride
context: moyashiteyuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride response:	This story will change all my solitude into something positive
context: yume no tochuu de meguriau deai to wakare\kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive response:	Even if we rise above our life, a different one awaits us
context: kimi ga oshiete kureta boku dake ga motsu chikara\tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us response:	I will cut a path for my future
