context: Yukigaoka Kitagawa Daiichi response:	My first and last official match of junior high...
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high... response:	My team was defeated.
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated. response:	My opponent was the King of the Court.
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court. response:	I'll get my revenge against that King!
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King! response:	That's what I pledged before starting Karasuno High School.
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School. response:	But...
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But... response:	Karasuno
context: Yukigaoka Kitagawa Daiichi\My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But...\Karasuno response:	Why is he here?!
context: My first and last official match of junior high...\My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But...\Karasuno\Why is he here?! response:	Episode 2: Karasuno High School Volleyball Club
context: My team was defeated.\My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But...\Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club response:	Why?
context: My opponent was the King of the Court.\I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But...\Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why? response:	Why is this guy at Karasuno?
context: I'll get my revenge against that King!\That's what I pledged before starting Karasuno High School.\But...\Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno? response:	Maybe he's just a lookalike.
context: That's what I pledged before starting Karasuno High School.\But...\Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike. response:	What are you doing here, anyway?
context: But...\Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway? response:	You make it sound so easy.
context: Karasuno\Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy. response:	I'll be the last one standing.
context: Why is he here?!\Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing. response:	What were you doing for the last three years?
context: Episode 2: Karasuno High School Volleyball Club\Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years? response:	No, no. There's no mistake.
context: Why?\Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake. response:	This guy is Kageyama Tobio!
context: Why is this guy at Karasuno?\Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio! response:	I met you last year...
context: Maybe he's just a lookalike.\What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year... response:	But I don't know your name.
context: What are you doing here, anyway?\You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year...\But I don't know your name. response:	M-My name is Hinata Shoyo.
context: You make it sound so easy.\I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo. response:	You probably don't remember the team you beat in the first match!
