context: Don't let her get that back! response:	What's going on?!
context: Don't let her get that back!\What's going on?! response:	Keep your guard up!
context: Don't let her get that back!\What's going on?!\Keep your guard up! response:	They're not human!
context: Don't let her get that back!\What's going on?!\Keep your guard up!\They're not human! response:	They're...
context: Don't let her get that back!\What's going on?!\Keep your guard up!\They're not human!\They're... response:	D-Don't come closer!
context: Don't let her get that back!\What's going on?!\Keep your guard up!\They're not human!\They're...\D-Don't come closer! response:	Fire! Don't hesitate!
context: Don't let her get that back!\What's going on?!\Keep your guard up!\They're not human!\They're...\D-Don't come closer!\Fire! Don't hesitate! response:	Hey, Yu-chan.
context: Don't let her get that back!\What's going on?!\Keep your guard up!\They're not human!\They're...\D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan. response:	You didn't stop me, so I killed all of them.
context: What's going on?!\Keep your guard up!\They're not human!\They're...\D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them. response:	It's boring.
context: Keep your guard up!\They're not human!\They're...\D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring. response:	They're so weak.
context: They're not human!\They're...\D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring.\They're so weak. response:	All in all, this is an unnecessary species, as I thought.
context: They're...\D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought. response:	Don't you think so, Yume?
context: D-Don't come closer!\Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume? response:	Now my life is blooming then falling
context: Fire! Don't hesitate!\Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling response:	I grab destiny tight
context: Hey, Yu-chan.\You didn't stop me, so I killed all of them.\It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight response:	There's no more hesitation anymore
context: You didn't stop me, so I killed all of them.\It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore response:	Tying our bond
context: It's boring.\They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond response:	To the sky waiting for the dawn
context: They're so weak.\All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn response:	Holding you, my love, tightly
context: All in all, this is an unnecessary species, as I thought.\Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly response:	I present an unbreakable prayer
context: Don't you think so, Yume?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer response:	We all are still in the darkness
context: Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness response:	Right now I just
context: I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just response:	Want to touch you deep in your heart
context: There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart response:	And give you all of my overflowing passion
context: Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion response:	I spread out my wings
context: To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings response:	Toward the future of our dreams
context: Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams response:	On them are engraved
context: I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved response:	The feeling you gave me that day
context: We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day response:	The words of our oath
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Nation of Japan, Capital, Shintou Teito
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito response:	- I passed! - Lt's really there!
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there! response:	- How about me? - Congratulations!
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations! response:	Applicants Who Passed the Entrance Exam - How about me? - Congratulations!
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations! response:	- How about me? - Congratulations!
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations! response:	Minato Sahashi,
context: My pounding heart, take off now!\My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi, response:	nineteen years old.
context: My wish can fly high, high up\Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi,\nineteen years old. response:	Cherry blossoms fell... a second time.
context: Nation of Japan, Capital, Shintou Teito\- I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time. response:	I'm sorry, Mom. I failed again this year.
context: - I passed! - Lt's really there!\- How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year. response:	Eh? What will you do now?
context: - How about me? - Congratulations!\Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now? response:	Will you come back here?
context: Applicants Who Passed the Entrance Exam - How about me? - Congratulations!\- How about me? - Congratulations!\Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here? response:	Sorry, please let me think for a while.
