context: Hello! response:	English Grammar Workout: 700+ Tough Drills
context: Hello!\English Grammar Workout: 700+ Tough Drills response:	You find what you were looking for?
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for? response:	No. Maybe I should just order it in...
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in... response:	You could ask a clerk to help.
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help. response:	Nah, I'll just keep looking for it!
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it! response:	Mmkay, I'm gonna grab this.
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this. response:	Oh, I'll come with you. I'm gonna buy something, too.
context: Hello!\English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too. response:	Ow!
context: English Grammar Workout: 700+ Tough Drills\You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow! response:	They've got some game magazines over there! Lemme show you, c'mon!
context: You find what you were looking for?\No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon! response:	Sure.
context: No. Maybe I should just order it in...\You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure. response:	Horimiya
context: You could ask a clerk to help.\Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya response:	Toru!
context: Nah, I'll just keep looking for it!\Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya\Toru! response:	What? You taking out the trash?
context: Mmkay, I'm gonna grab this.\Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya\Toru!\What? You taking out the trash? response:	Yup. You grab the burnables.
context: Oh, I'll come with you. I'm gonna buy something, too.\Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya\Toru!\What? You taking out the trash?\Yup. You grab the burnables. response:	So I'm helping you now? Whoa!
context: Ow!\They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya\Toru!\What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa! response:	This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.
context: They've got some game magazines over there! Lemme show you, c'mon!\Sure.\Horimiya\Toru!\What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth. response:	Huh? What could you possibly be talking about?
context: Sure.\Horimiya\Toru!\What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about? response:	You're Here, I'm Here
context: Horimiya\Toru!\What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here response:	Oh, right! That DVD I wanted is out today.
context: Toru!\What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today. response:	Come with me to pick it up later.
context: What? You taking out the trash?\Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today.\Come with me to pick it up later. response:	Urgh...
context: Yup. You grab the burnables.\So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today.\Come with me to pick it up later.\Urgh... response:	I'll let you borrow it later!
context: So I'm helping you now? Whoa!\This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today.\Come with me to pick it up later.\Urgh...\I'll let you borrow it later! response:	The actor playing the shopkeeper is so hot!
context: This one's heavy as shit! I see what you're doing, Yoshikawa. Real smooth.\Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today.\Come with me to pick it up later.\Urgh...\I'll let you borrow it later!\The actor playing the shopkeeper is so hot! response:	-And not just that...
context: Huh? What could you possibly be talking about?\You're Here, I'm Here\Oh, right! That DVD I wanted is out today.\Come with me to pick it up later.\Urgh...\I'll let you borrow it later!\The actor playing the shopkeeper is so hot!\-And not just that... response:	-Ever since Hori and Miyamura started dating, -And not just that...
