context: What's happened so far! response:	Our sister, Miyazawa Yukino...
context: What's happened so far!\Our sister, Miyazawa Yukino... response:	But Miyazawa flatly turned him down.
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down. response:	Right afterwards, her true nature,
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature, response:	that she had been desperately hiding,
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding, response:	was discovered,
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding,\was discovered, response:	and she became Arima's lackey.
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding,\was discovered,\and she became Arima's lackey. response:	Meanwhile, feelings of love towards him
context: What's happened so far!\Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding,\was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him response:	had awakened in her for the first time.
context: Our sister, Miyazawa Yukino...\But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding,\was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time. response:	After much fuss, they made up.
context: But Miyazawa flatly turned him down.\Right afterwards, her true nature,\that she had been desperately hiding,\was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up. response:	They were joined by friendship for the time being...
context: Right afterwards, her true nature,\that she had been desperately hiding,\was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being... response:	My feelings for you never changed.
context: that she had been desperately hiding,\was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed. response:	I've liked you the whole time.
context: was discovered,\and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time. response:	So what'll happen
context: and she became Arima's lackey.\Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time.\So what'll happen response:	to them after that?!
context: Meanwhile, feelings of love towards him\had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time.\So what'll happen\to them after that?! response:	Oh, look! It's Miyazawa!
context: had awakened in her for the first time.\After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time.\So what'll happen\to them after that?!\Oh, look! It's Miyazawa! response:	She's so cute.
context: After much fuss, they made up.\They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time.\So what'll happen\to them after that?!\Oh, look! It's Miyazawa!\She's so cute. response:	I wonder what she's reading.
context: They were joined by friendship for the time being...\My feelings for you never changed.\I've liked you the whole time.\So what'll happen\to them after that?!\Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading. response:	Salinger!
context: My feelings for you never changed.\I've liked you the whole time.\So what'll happen\to them after that?!\Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading.\Salinger! response:	That cover is Salinger.
context: I've liked you the whole time.\So what'll happen\to them after that?!\Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading.\Salinger!\That cover is Salinger. response:	How romantic.
context: So what'll happen\to them after that?!\Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading.\Salinger!\That cover is Salinger.\How romantic. response:	That fits her to a T.
context: to them after that?!\Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading.\Salinger!\That cover is Salinger.\How romantic.\That fits her to a T. response:	Yeah, that's the way a beauty's gotta be.
context: Oh, look! It's Miyazawa!\She's so cute.\I wonder what she's reading.\Salinger!\That cover is Salinger.\How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be. response:	Oh, it's Arima!
context: She's so cute.\I wonder what she's reading.\Salinger!\That cover is Salinger.\How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima! response:	He's as wonderful as always.
context: I wonder what she's reading.\Salinger!\That cover is Salinger.\How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always. response:	I wonder if he's really going out with Miyazawa.
context: Salinger!\That cover is Salinger.\How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa. response:	Oh, Arima.
context: That cover is Salinger.\How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima. response:	Why do you show off like this?!
context: How romantic.\That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?! response:	You said you were going to be honest with yourself!
context: That fits her to a T.\Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself! response:	It's just a little!
context: Yeah, that's the way a beauty's gotta be.\Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little! response:	Quit nagging.
context: Oh, it's Arima!\He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little!\Quit nagging. response:	People can't change that easily.
context: He's as wonderful as always.\I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little!\Quit nagging.\People can't change that easily. response:	Ow ow owww...
context: I wonder if he's really going out with Miyazawa.\Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little!\Quit nagging.\People can't change that easily.\Ow ow owww... response:	Until last week, I, Miyazawa Yukino, and Arima Souichiro...
context: Oh, Arima.\Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little!\Quit nagging.\People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro... response:	Known all over school for being graced with wit and beauty......excelling at all kinds of sports,
