context: Skies of Aquaria response:	Next Time
context: Skies of Aquaria\Next Time response:	The Fallen Giant
context: Skies of Aquaria\Next Time\The Fallen Giant response:	osore
context: Skies of Aquaria\Next Time\The Fallen Giant\osore response:	living your life don't give up now keep moving on
context: Skies of Aquaria\Next Time\The Fallen Giant\osore\living your life don't give up now keep moving on response:	kimi wo dakishimeru nandomo nandomo nandomo
context: Skies of Aquaria\Next Time\The Fallen Giant\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo response:	ashita boku wa kimi ni deau darou
context: Skies of Aquaria\Next Time\The Fallen Giant\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou response:	wazukana hoshiakari wo tayori ni
context: Skies of Aquaria\Next Time\The Fallen Giant\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni response:	boku ni wa kimi ga wakaru yo wakaru yo
context: Next Time\The Fallen Giant\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo response:	sen'oku no toki wo koe futari hiraku densetsu no tobira
context: The Fallen Giant\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira response:	naraku no ao tobikoete
context: osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete response:	kimi to hai ni naru tame
context: living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame response:	nagaki rinne wo kanashimi tsurete tabi shitekitanda
context: kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda response:	zenryoku de mikansei kimi no tonari de
context: ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de response:	kawaita kokoro hodoke chi wo nagasu kedo
context: wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo response:	soba ni iru yo zutto yorisotte zutto
context: boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto response:	futari hikari no fune ni noru
context: sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru response:	kaze no hajimari no oto kanadeyou
context: naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou response:	Even if you're scared
context: kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared response:	Just live your life, don't give up now, keep moving on
context: nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on response:	And I'll come for you over and over and over again
context: zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again response:	We'll find each other soon enough
context: kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough response:	By the faintest glimmer of starlight
context: soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight response:	I know you, I know you
context: futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you response:	It's been billions of years, but now we can open the door to our legend
context: kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend response:	I crossed over the deep blue void
context: Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void response:	so I could burn to ash along with you
context: Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you response:	I've had a long journey on the vast wheel of fate, gathering sorrows along the way
context: And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way response:	I'm not perfect, but I'm giving all I have
context: We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have response:	If I open my fragile heart to you, I know I'll bleed...
