context: Captain Earth response:	I'll install myself into every sentient life form in the galaxy,
context: Captain Earth\I'll install myself into every sentient life form in the galaxy, response:	and become this galaxy's true god!
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god! response:	With the one thing that could threaten me,
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me, response:	the Boosted Plasmagnum, gone,
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone, response:	my Ego Block can only be destroyed by my own will, making me invincible!
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible! response:	That ugly clump is an Ego Block?
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block? response:	A mere control system for Auberon cannot be allowed to have an Ego Block!
context: Captain Earth\I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block! response:	Even without life, an Ego Block can exist as long as there is desire, right?
context: I'll install myself into every sentient life form in the galaxy,\and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right? response:	A planetary sign?
context: and become this galaxy's true god!\With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign? response:	A planetary sign...
context: With the one thing that could threaten me,\the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign... response:	Anyone with an Ego Block can use it.
context: the Boosted Plasmagnum, gone,\my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it. response:	Of course I can, as well.
context: my Ego Block can only be destroyed by my own will, making me invincible!\That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well. response:	And its strength is proportional to your libido's strength.
context: That ugly clump is an Ego Block?\A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength. response:	No one without an Ego Block can break this sign.
context: A mere control system for Auberon cannot be allowed to have an Ego Block!\Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign. response:	Daichi! Teppei!
context: Even without life, an Ego Block can exist as long as there is desire, right?\A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei! response:	How does it feel to be ruled by that which you used?
context: A planetary sign?\A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used? response:	Well, Amarok?
