context: Thank you for your help, Kanou-kun. response:	It's nothing.
context: Thank you for your help, Kanou-kun.\It's nothing. response:	Kanou?
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou? response:	He helped me carry the papers.
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou?\He helped me carry the papers. response:	When did you two get so close?
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou?\He helped me carry the papers.\When did you two get so close? response:	I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou?\He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai. response:	Ah...
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou?\He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah... response:	I said I'm not a girl.
context: Thank you for your help, Kanou-kun.\It's nothing.\Kanou?\He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl. response:	Yeah.
context: It's nothing.\Kanou?\He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl.\Yeah. response:	You're just saying that, aren't you?
context: Kanou?\He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl.\Yeah.\You're just saying that, aren't you? response:	Yeah.
context: He helped me carry the papers.\When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl.\Yeah.\You're just saying that, aren't you?\Yeah. response:	Yukimura.
context: When did you two get so close?\I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl.\Yeah.\You're just saying that, aren't you?\Yeah.\Yukimura. response:	Yes?
context: I thought that I might be able to overcome my aversion towards girls if I spent time with Yukimura-senpai.\Ah...\I said I'm not a girl.\Yeah.\You're just saying that, aren't you?\Yeah.\Yukimura.\Yes? response:	Be strong.
context: Ah...\I said I'm not a girl.\Yeah.\You're just saying that, aren't you?\Yeah.\Yukimura.\Yes?\Be strong. response:	Why can I hear what they're thinking?
context: I said I'm not a girl.\Yeah.\You're just saying that, aren't you?\Yeah.\Yukimura.\Yes?\Be strong.\Why can I hear what they're thinking? response:	Fine. Just watch me!
context: Yeah.\You're just saying that, aren't you?\Yeah.\Yukimura.\Yes?\Be strong.\Why can I hear what they're thinking?\Fine. Just watch me! response:	I'll become more masculine.
context: You're just saying that, aren't you?\Yeah.\Yukimura.\Yes?\Be strong.\Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine. response:	I'll become a man among men!
context: Yeah.\Yukimura.\Yes?\Be strong.\Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine.\I'll become a man among men! response:	I'll go get the other documents, too.
context: Yukimura.\Yes?\Be strong.\Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too. response:	By myself!
context: Yes?\Be strong.\Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too.\By myself! response:	I'll help out.
context: Be strong.\Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too.\By myself!\I'll help out. response:	No, I'm doing it by myself.
context: Why can I hear what they're thinking?\Fine. Just watch me!\I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too.\By myself!\I'll help out.\No, I'm doing it by myself. response:	Fine, I'll train to become manly then.
context: Fine. Just watch me!\I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too.\By myself!\I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then. response:	I'll become manly enough to totally surprise you.
context: I'll become more masculine.\I'll become a man among men!\I'll go get the other documents, too.\By myself!\I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you. response:	He found himself a good guardian.
context: I'll become a man among men!\I'll go get the other documents, too.\By myself!\I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian. response:	Oh yeah, I owe him one.
context: I'll go get the other documents, too.\By myself!\I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one. response:	You want to pay me back?
context: By myself!\I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back? response:	Yeah. First you saved me when a stalker was after me, and then during the sports festival,
context: I'll help out.\No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival, response:	and even when I had trouble with Kanou, too.
context: No, I'm doing it by myself.\Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too. response:	I don't like being so indebted to you.
context: Fine, I'll train to become manly then.\I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you. response:	Well, then be my maid for a day.
context: I'll become manly enough to totally surprise you.\He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day. response:	Could you think of something else?
context: He found himself a good guardian.\Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else? response:	Let's see...
context: Oh yeah, I owe him one.\You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else?\Let's see... response:	Do you seriously want me to be your maid for a day?
