context: Wise Woman Beatrix. response:	Shibiladula Reladibula.
context: Wise Woman Beatrix.\Shibiladula Reladibula. response:	When traditional and modern powers are mixed, the gate to an unseen world will open.
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open. response:	Diana, I believe that you can open that gate.
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate. response:	You will be able to carry the Cavendish name into the future.
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future. response:	I really hope they still have some leftovers.
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers. response:	I hope they have some leftovers...
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers... response:	Are you absolutely certain we cannot convince you to reconsider, Diana?
context: Wise Woman Beatrix.\Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana? response:	After reading it, she suddenly said she'd return home to become the family head.
context: Shibiladula Reladibula.\When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head. response:	Especially as of late there have been various awful rumors going around.
context: When traditional and modern powers are mixed, the gate to an unseen world will open.\Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around. response:	That doesn't mean Diana has to quit school!
context: Diana, I believe that you can open that gate.\You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school! response:	She says they can only conduct the ritual to pass the title down now,
context: You will be able to carry the Cavendish name into the future.\I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now, response:	and if she misses it there won't be another chance for several years.
context: I really hope they still have some leftovers.\I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years. response:	Everyone expected her to inherit her position eventually...
context: I hope they have some leftovers...\Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually... response:	But to think she can't even graduate first...
context: Are you absolutely certain we cannot convince you to reconsider, Diana?\After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first... response:	I did. The Cavendish family has been facing issues for quite some time now.
context: After reading it, she suddenly said she'd return home to become the family head.\Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now. response:	Yes, the Cavendish family has been having issues for quite some time.
context: Especially as of late there have been various awful rumors going around.\That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time. response:	But the teachers tried to stop her, right?
context: That doesn't mean Diana has to quit school!\She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right? response:	You all tried to stop her, right?
context: She says they can only conduct the ritual to pass the title down now,\and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right?\You all tried to stop her, right? response:	Oh, she's back.
context: and if she misses it there won't be another chance for several years.\Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right?\You all tried to stop her, right?\Oh, she's back. response:	Those who leave Luna Nova behind them are to do so secretly, in the dead of night. That is our custom.
context: Everyone expected her to inherit her position eventually...\But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right?\You all tried to stop her, right?\Oh, she's back.\Those who leave Luna Nova behind them are to do so secretly, in the dead of night. That is our custom. response:	Those who depart Luna Nova are to do so secretly in the dead of night. That is our custom.
context: But to think she can't even graduate first...\I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right?\You all tried to stop her, right?\Oh, she's back.\Those who leave Luna Nova behind them are to do so secretly, in the dead of night. That is our custom.\Those who depart Luna Nova are to do so secretly in the dead of night. That is our custom. response:	The attitude of disdain you display for tradition and history truly infuriates me.
context: I did. The Cavendish family has been facing issues for quite some time now.\Yes, the Cavendish family has been having issues for quite some time.\But the teachers tried to stop her, right?\You all tried to stop her, right?\Oh, she's back.\Those who leave Luna Nova behind them are to do so secretly, in the dead of night. That is our custom.\Those who depart Luna Nova are to do so secretly in the dead of night. That is our custom.\The attitude of disdain you display for tradition and history truly infuriates me. response:	Though I do not recall needing your permission to drop out.
