context: Editorial Department response:	Shounen Jack
context: Editorial Department\Shounen Jack response:	Jack SQ
context: Editorial Department\Shounen Jack\Jack SQ response:	Love Story One-shot Results
context: Editorial Department\Shounen Jack\Jack SQ\Love Story One-shot Results response:	Within 1000 votes
context: Editorial Department\Shounen Jack\Jack SQ\Love Story One-shot Results\Within 1000 votes response:	1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty
context: Editorial Department\Shounen Jack\Jack SQ\Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty response:	Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou
context: Editorial Department\Shounen Jack\Jack SQ\Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou response:	Ashirogi
context: Editorial Department\Shounen Jack\Jack SQ\Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi response:	Hiramaru
context: Shounen Jack\Jack SQ\Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru response:	Aoki
context: Jack SQ\Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru\Aoki response:	Eiji
context: Love Story One-shot Results\Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru\Aoki\Eiji response:	Arai
context: Within 1000 votes\1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru\Aoki\Eiji\Arai response:	The participants of the Leaders Fest are...
context: 1 What God gave me... 2 I Don't Understand 3 Boy E Girl B 4 A Small Time 5 LOVE power A to Z 6 Setsuna Yui 7 Fourberty\Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru\Aoki\Eiji\Arai\The participants of the Leaders Fest are... response:	Arai, Eiji, Aoki, Hiramaru, and us.
context: Aoki Kou Hiramaru Kazuya Arai Kisaku Ashirogi Mutou Niizuma Eiji Fukuda Shinta Akina Aiko Hachihonki Hachirou\Ashirogi\Hiramaru\Aoki\Eiji\Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us. response:	Five spots are already taken.
context: Ashirogi\Hiramaru\Aoki\Eiji\Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken. response:	The deadline will change depending on what spot we're in,
context: Hiramaru\Aoki\Eiji\Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in, response:	but since we also have PCP to deal with, how far in advance should we prepare the manuscript?
context: Aoki\Eiji\Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript? response:	Shuujin.
context: Eiji\Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin. response:	Will you let me handle this one-shot?
context: Arai\The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot? response:	I want to see how far I can get by myself.
context: The participants of the Leaders Fest are...\Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself. response:	By yourself?
context: Arai, Eiji, Aoki, Hiramaru, and us.\Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself? response:	Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.
context: Five spots are already taken.\The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way. response:	That you didn't want to cause me trouble by doing Rabuta.
context: The deadline will change depending on what spot we're in,\but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta. response:	I was happy.
context: but since we also have PCP to deal with, how far in advance should we prepare the manuscript?\Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy. response:	I don't want to drag you down, either.
context: Shuujin.\Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either. response:	I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.
context: Will you let me handle this one-shot?\I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either. response:	I want to grow.
context: I want to see how far I can get by myself.\By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow. response:	I'll just do as much as I can.
context: By yourself?\Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can. response:	I want to try it!
context: Shuujin, you just said to Hattori that you're Ashirogi Mutou all the way.\That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can.\I want to try it! response:	With PCP still running, you'll work on Rabuta, and I'll handle the one-shot's storyboard.
context: That you didn't want to cause me trouble by doing Rabuta.\I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can.\I want to try it!\With PCP still running, you'll work on Rabuta, and I'll handle the one-shot's storyboard. response:	If we can pull this off, we'll expand our horizons.
context: I was happy.\I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can.\I want to try it!\With PCP still running, you'll work on Rabuta, and I'll handle the one-shot's storyboard.\If we can pull this off, we'll expand our horizons. response:	Ashirogi Mutou will become something greater!
context: I don't want to drag you down, either.\I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can.\I want to try it!\With PCP still running, you'll work on Rabuta, and I'll handle the one-shot's storyboard.\If we can pull this off, we'll expand our horizons.\Ashirogi Mutou will become something greater! response:	You're right.
context: I don't want PCP's quality to suffer because of this one-shot. Or Rabuta's, either.\I want to grow.\I'll just do as much as I can.\I want to try it!\With PCP still running, you'll work on Rabuta, and I'll handle the one-shot's storyboard.\If we can pull this off, we'll expand our horizons.\Ashirogi Mutou will become something greater!\You're right. response:	Ashirogi
