context: Yes! response:	Matsuoka Rin
context: Yes!\Matsuoka Rin response:	Nanase Haruka
context: Yes!\Matsuoka Rin\Nanase Haruka response:	Haru lost...
context: Yes!\Matsuoka Rin\Nanase Haruka\Haru lost... response:	Haru!
context: Yes!\Matsuoka Rin\Nanase Haruka\Haru lost...\Haru! response:	I win.
context: Yes!\Matsuoka Rin\Nanase Haruka\Haru lost...\Haru!\I win. response:	This means I'll never swim with you again.
context: Yes!\Matsuoka Rin\Nanase Haruka\Haru lost...\Haru!\I win.\This means I'll never swim with you again. response:	Huh?
context: Yes!\Matsuoka Rin\Nanase Haruka\Haru lost...\Haru!\I win.\This means I'll never swim with you again.\Huh? response:	Never.
context: Matsuoka Rin\Nanase Haruka\Haru lost...\Haru!\I win.\This means I'll never swim with you again.\Huh?\Never. response:	Revenge in the Medley!
context: Nanase Haruka\Haru lost...\Haru!\I win.\This means I'll never swim with you again.\Huh?\Never.\Revenge in the Medley! response:	Set.
context: Haru lost...\Haru!\I win.\This means I'll never swim with you again.\Huh?\Never.\Revenge in the Medley!\Set. response:	Go!
context: Haru!\I win.\This means I'll never swim with you again.\Huh?\Never.\Revenge in the Medley!\Set.\Go! response:	Oh, there you are!
context: I win.\This means I'll never swim with you again.\Huh?\Never.\Revenge in the Medley!\Set.\Go!\Oh, there you are! response:	Sorry about being late.
context: This means I'll never swim with you again.\Huh?\Never.\Revenge in the Medley!\Set.\Go!\Oh, there you are!\Sorry about being late. response:	Coach Sasabe...
context: Huh?\Never.\Revenge in the Medley!\Set.\Go!\Oh, there you are!\Sorry about being late.\Coach Sasabe... response:	Where were you?!
context: Never.\Revenge in the Medley!\Set.\Go!\Oh, there you are!\Sorry about being late.\Coach Sasabe...\Where were you?! response:	You're late, Goro-chan!
context: Revenge in the Medley!\Set.\Go!\Oh, there you are!\Sorry about being late.\Coach Sasabe...\Where were you?!\You're late, Goro-chan! response:	Thank you for your help the other day.
context: Set.\Go!\Oh, there you are!\Sorry about being late.\Coach Sasabe...\Where were you?!\You're late, Goro-chan!\Thank you for your help the other day. response:	And I appreciate you taking time from work to come support us.
