context: Hey! response:	I'm not doing nothing but practice every day.
context: Hey!\I'm not doing nothing but practice every day. response:	Sorry, but I've got my own life to live.
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live. response:	King...
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King... response:	Run with the Wind
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King...\Run with the Wind response:	Dolgorsurengiin Dagvadorj!
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King...\Run with the Wind\Dolgorsurengiin Dagvadorj! response:	Correct.
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King...\Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct. response:	Yeah!
context: Hey!\I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King...\Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct.\Yeah! response:	King.
context: I'm not doing nothing but practice every day.\Sorry, but I've got my own life to live.\King...\Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct.\Yeah!\King. response:	Excuse me, King.
context: Sorry, but I've got my own life to live.\King...\Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct.\Yeah!\King.\Excuse me, King. response:	Discus throw!
context: King...\Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct.\Yeah!\King.\Excuse me, King.\Discus throw! response:	Basketball!
context: Run with the Wind\Dolgorsurengiin Dagvadorj!\Correct.\Yeah!\King.\Excuse me, King.\Discus throw!\Basketball! response:	Wrong? I'm telling you, it's discus throw.
context: Dolgorsurengiin Dagvadorj!\Correct.\Yeah!\King.\Excuse me, King.\Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw. response:	Incorrect. The correct answer is discus throw.
context: Correct.\Yeah!\King.\Excuse me, King.\Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw. response:	Hey...
context: Yeah!\King.\Excuse me, King.\Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey... response:	These entertainers suck at sports questions.
context: King.\Excuse me, King.\Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions. response:	Unprecedented Stupidity
context: Excuse me, King.\Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity response:	I'd totally beat them one-on-one.
context: Discus throw!\Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one. response:	King.
context: Basketball!\Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one.\King. response:	What?
context: Wrong? I'm telling you, it's discus throw.\Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one.\King.\What? response:	Sorry, but I'm going for my nighttime jog soon.
context: Incorrect. The correct answer is discus throw.\Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one.\King.\What?\Sorry, but I'm going for my nighttime jog soon. response:	See you later.
context: Hey...\These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one.\King.\What?\Sorry, but I'm going for my nighttime jog soon.\See you later. response:	Are you sure, King?
context: These entertainers suck at sports questions.\Unprecedented Stupidity\I'd totally beat them one-on-one.\King.\What?\Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King? response:	With what?
context: Unprecedented Stupidity\I'd totally beat them one-on-one.\King.\What?\Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King?\With what? response:	If you are, that's fine.
