context: I'm sorry. response:	This is the best I could do right now.
context: I'm sorry.\This is the best I could do right now. response:	Why did this have to happen?
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen? response:	Rune information particles.
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen?\Rune information particles. response:	You're saying that they are your food?
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen?\Rune information particles.\You're saying that they are your food? response:	Humans are full of Runes! Memories, the past?
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen?\Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past? response:	And life!
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen?\Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life! response:	Which means, once you've devoured their memories,
context: I'm sorry.\This is the best I could do right now.\Why did this have to happen?\Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories, response:	you move on to the information that is their life.
context: This is the best I could do right now.\Why did this have to happen?\Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories,\you move on to the information that is their life. response:	What does he mean, food?!
context: Why did this have to happen?\Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?! response:	Why did Marie have to die because of you?
context: Rune information particles.\You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you? response:	Not me. It was the Valvrave that killed her.
context: You're saying that they are your food?\Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her. response:	It's the same thing!
context: Humans are full of Runes! Memories, the past?\And life!\Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing! response:	The ones to blame are the humans who sealed me in here.
