context: Miyazawa? response:	Thanks for the notes.
context: Miyazawa?\Thanks for the notes. response:	They really saved my butt.
context: Miyazawa?\Thanks for the notes.\They really saved my butt. response:	They were so neat.
context: Miyazawa?\Thanks for the notes.\They really saved my butt.\They were so neat. response:	Just what I'd expect from you.
context: Miyazawa?\Thanks for the notes.\They really saved my butt.\They were so neat.\Just what I'd expect from you. response:	Oh, they're nothing, really. Are you over your cold?
context: Miyazawa?\Thanks for the notes.\They really saved my butt.\They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold? response:	Feeling great.
context: Miyazawa?\Thanks for the notes.\They really saved my butt.\They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great. response:	Miyazawa!
context: Miyazawa?\Thanks for the notes.\They really saved my butt.\They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa! response:	The sewing class assignment was due today, wasn't it?
context: Thanks for the notes.\They really saved my butt.\They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it? response:	We're not done yet.
context: They really saved my butt.\They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet. response:	Well, I can talk to the teacher and
context: They were so neat.\Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and response:	get an extension until after school.
context: Just what I'd expect from you.\Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and\get an extension until after school. response:	All right!
context: Oh, they're nothing, really. Are you over your cold?\Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and\get an extension until after school.\All right! response:	Miyazawa!
context: Feeling great.\Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and\get an extension until after school.\All right!\Miyazawa! response:	Miyazawa!
context: Miyazawa!\The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and\get an extension until after school.\All right!\Miyazawa!\Miyazawa! response:	Miyazawa!
context: The sewing class assignment was due today, wasn't it?\We're not done yet.\Well, I can talk to the teacher and\get an extension until after school.\All right!\Miyazawa!\Miyazawa!\Miyazawa! response:	Miyazawa, you're amazing!
context: We're not done yet.\Well, I can talk to the teacher and\get an extension until after school.\All right!\Miyazawa!\Miyazawa!\Miyazawa!\Miyazawa, you're amazing! response:	Yes!
context: Well, I can talk to the teacher and\get an extension until after school.\All right!\Miyazawa!\Miyazawa!\Miyazawa!\Miyazawa, you're amazing!\Yes! response:	She's smart... sweet... cute...
context: get an extension until after school.\All right!\Miyazawa!\Miyazawa!\Miyazawa!\Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute... response:	Yes!
context: All right!\Miyazawa!\Miyazawa!\Miyazawa!\Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute...\Yes! response:	I wish I could be like you.
context: Miyazawa!\Miyazawa!\Miyazawa!\Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute...\Yes!\I wish I could be like you. response:	I never would have thought
context: Miyazawa!\Miyazawa!\Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute...\Yes!\I wish I could be like you.\I never would have thought response:	such perfect people existed.
context: Miyazawa!\Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute...\Yes!\I wish I could be like you.\I never would have thought\such perfect people existed. response:	Yes!
context: Miyazawa, you're amazing!\Yes!\She's smart... sweet... cute...\Yes!\I wish I could be like you.\I never would have thought\such perfect people existed.\Yes! response:	Miyazawa, you're amazing!
context: Yes!\She's smart... sweet... cute...\Yes!\I wish I could be like you.\I never would have thought\such perfect people existed.\Yes!\Miyazawa, you're amazing! response:	She's smart... sweet... cute...
