context: The Second Plate response:	Episode 10
context: The Second Plate\Episode 10 response:	You don't look very happy, Eizan-kun.
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun. response:	What are you talking about?
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun.\What are you talking about? response:	The arena's really pumped.
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped. response:	This year's Autumn Elections are a major success.
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success. response:	As the organizers, there's nothing to be unhappy about.
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about. response:	But it looks very different from how you imagined it to be, doesn't it?
context: The Second Plate\Episode 10\You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it? response:	Hmph.
context: Episode 10\You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph. response:	I have no idea what you're talking about.
context: You don't look very happy, Eizan-kun.\What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about. response:	You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?
context: What are you talking about?\The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you? response:	If he used Takumi-kun,
context: The arena's really pumped.\This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun, response:	Soma-kun would no doubt agree to the Shokugeki.
context: This year's Autumn Elections are a major success.\As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki. response:	If he were defeated before such a large crowd without being able to avenge his friend,
context: As the organizers, there's nothing to be unhappy about.\But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki.\If he were defeated before such a large crowd without being able to avenge his friend, response:	there would be no greater humiliation.
context: But it looks very different from how you imagined it to be, doesn't it?\Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki.\If he were defeated before such a large crowd without being able to avenge his friend,\there would be no greater humiliation. response:	You kept your own hands clean,
context: Hmph.\I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki.\If he were defeated before such a large crowd without being able to avenge his friend,\there would be no greater humiliation.\You kept your own hands clean, response:	and manipulated everything from behind the scenes.
context: I have no idea what you're talking about.\You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki.\If he were defeated before such a large crowd without being able to avenge his friend,\there would be no greater humiliation.\You kept your own hands clean,\and manipulated everything from behind the scenes. response:	It's very much your style, Eizan-kun.
context: You're the one who directed Mimasaka Subaru to target Soma-kun, aren't you?\If he used Takumi-kun,\Soma-kun would no doubt agree to the Shokugeki.\If he were defeated before such a large crowd without being able to avenge his friend,\there would be no greater humiliation.\You kept your own hands clean,\and manipulated everything from behind the scenes.\It's very much your style, Eizan-kun. response:	But your schemes didn't work.
