context: Huh?! What's this? response:	It's a powerful miasma.
context: Huh?! What's this?\It's a powerful miasma. response:	Be careful! The evil is coming closer.
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer. response:	Where is it?! Just hurry and show yourself!
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself! response:	At your feet!
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet! response:	What is that?! The ground is melting!
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting! response:	Shippo!
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting!\Shippo! response:	Why, you!
context: Huh?! What's this?\It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting!\Shippo!\Why, you! response:	Take this! Hiraikotsu!
context: It's a powerful miasma.\Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting!\Shippo!\Why, you!\Take this! Hiraikotsu! response:	Why, you!
context: Be careful! The evil is coming closer.\Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting!\Shippo!\Why, you!\Take this! Hiraikotsu!\Why, you! response:	Finishing blow!
context: Where is it?! Just hurry and show yourself!\At your feet!\What is that?! The ground is melting!\Shippo!\Why, you!\Take this! Hiraikotsu!\Why, you!\Finishing blow! response:	Wait!
context: At your feet!\What is that?! The ground is melting!\Shippo!\Why, you!\Take this! Hiraikotsu!\Why, you!\Finishing blow!\Wait! response:	What?!
context: What is that?! The ground is melting!\Shippo!\Why, you!\Take this! Hiraikotsu!\Why, you!\Finishing blow!\Wait!\What?! response:	It can't fight anymore.
context: Shippo!\Why, you!\Take this! Hiraikotsu!\Why, you!\Finishing blow!\Wait!\What?!\It can't fight anymore. response:	Why?! I was just about to have a good fight!
context: Why, you!\Take this! Hiraikotsu!\Why, you!\Finishing blow!\Wait!\What?!\It can't fight anymore.\Why?! I was just about to have a good fight! response:	It was just big, and not much else.
context: Take this! Hiraikotsu!\Why, you!\Finishing blow!\Wait!\What?!\It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else. response:	What a letdown. His appearance was so deceptive.
context: Why, you!\Finishing blow!\Wait!\What?!\It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive. response:	But all's well and nothing could be better than that.
context: Finishing blow!\Wait!\What?!\It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that. response:	What's with them?
context: Wait!\What?!\It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them? response:	Thank you so much, traveling monk.
context: What?!\It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk. response:	Our village has been tormented by that demon.
context: It can't fight anymore.\Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon. response:	By that demon?
context: Why?! I was just about to have a good fight!\It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon? response:	We shall have a feast for you to show our gratitude.
context: It was just big, and not much else.\What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude. response:	This was just part of my training.
context: What a letdown. His appearance was so deceptive.\But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training. response:	I must decline.
context: But all's well and nothing could be better than that.\What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline. response:	I see. But it's too bad.
context: What's with them?\Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline.\I see. But it's too bad. response:	The pretty girls of the village eagerly await you.
context: Thank you so much, traveling monk.\Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you. response:	But if that is the case...
context: Our village has been tormented by that demon.\By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case... response:	Well, since you're being so kind,
context: By that demon?\We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind, response:	Buddha will punish me if I don't accept.
context: We shall have a feast for you to show our gratitude.\This was just part of my training.\I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept. response:	Changing his mind because of the young girls.
context: This was just part of my training.\I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls. response:	He really is a lecher priest.
context: I must decline.\I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest. response:	These beans are so delicious!
context: I see. But it's too bad.\The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious! response:	It's so yummy! They're great!
context: The pretty girls of the village eagerly await you.\But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great! response:	It's been so long since we've had such great food!
context: But if that is the case...\Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food! response:	What's the matter, Sango? You haven't touched your food.
