context: When you're gazing out at the sea, surrounded by the sound of waves... response:	It just goes to show that it's better to be busy.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy. response:	But if you're too busy, you also lose track of time.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time. response:	You lose track of time either way, then.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then. response:	It can't be helped, I guess.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess. response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess. response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess. response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!
context: When you're gazing out at the sea, surrounded by the sound of waves...\It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over! response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!
context: It just goes to show that it's better to be busy.\But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over! response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company
context: But if you're too busy, you also lose track of time.\You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company response:	Dear Ai, today is the Aria Company's anniversary.
context: You lose track of time either way, then.\It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary. response:	That's right, it's the day that Grandma founded the Aria Company!
context: It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company! response:	We'll be closed all day today, and together with Alicia and President Aria,
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria, response:	We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? It can't be helped, I guess.\We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria, response:	the three of us are going on a little trip. We've been looking forward to it for a while.
