context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	That was a great job!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job! response:	And it looks like the client really appreciated it.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it. response:	Well, we finished it up real quick since I was there.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there. response:	Huh? And what makes you say that, jerk?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk? response:	Just thinking about how you were nothing but extra baggage for this job.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job. response:	How about I teach you what kind of extra baggage I am?
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am? response:	That made no sense at all.
context: and sit back from the screen,'kay?\That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all. response:	Settle down!
context: That was a great job!\And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down! response:	And put on some clothes.
context: And it looks like the client really appreciated it.\Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down!\And put on some clothes. response:	Upa.
context: Well, we finished it up real quick since I was there.\Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down!\And put on some clothes.\Upa. response:	That's not fair!
context: Huh? And what makes you say that, jerk?\Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down!\And put on some clothes.\Upa.\That's not fair! response:	I'm the one who says that!
context: Just thinking about how you were nothing but extra baggage for this job.\How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down!\And put on some clothes.\Upa.\That's not fair!\I'm the one who says that! response:	That's right, we can do it!
context: How about I teach you what kind of extra baggage I am?\That made no sense at all.\Settle down!\And put on some clothes.\Upa.\That's not fair!\I'm the one who says that!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: That made no sense at all.\Settle down!\And put on some clothes.\Upa.\That's not fair!\I'm the one who says that!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Settle down!\And put on some clothes.\Upa.\That's not fair!\I'm the one who says that!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: And put on some clothes.\Upa.\That's not fair!\I'm the one who says that!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
