context: Dad? You mean him? response:	So he's having an affair?
context: Dad? You mean him?\So he's having an affair? response:	Break them up? How?
context: Dad? You mean him?\So he's having an affair?\Break them up? How? response:	You're in junior high, figure it out, octopus!
context: Dad? You mean him?\So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus! response:	You. What's your name?
context: Dad? You mean him?\So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name? response:	Miuna.
context: Dad? You mean him?\So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name?\Miuna. response:	Sayu!
context: Dad? You mean him?\So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name?\Miuna.\Sayu! response:	I don't like your dad either.
context: Dad? You mean him?\So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name?\Miuna.\Sayu!\I don't like your dad either. response:	He's got a kid and he's trying to get with a younger woman...
context: So he's having an affair?\Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name?\Miuna.\Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman... response:	He's not fit for Akari... my big sister.
context: Break them up? How?\You're in junior high, figure it out, octopus!\You. What's your name?\Miuna.\Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister. response:	Your sister's the one who's tricking him!
context: You're in junior high, figure it out, octopus!\You. What's your name?\Miuna.\Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him! response:	But...
context: You. What's your name?\Miuna.\Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But... response:	Hey!
context: Miuna.\Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But...\Hey! response:	Wh-Why you
