context: Are you alone? response:	I always keep my promises
context: Are you alone?\I always keep my promises response:	since I'm a businessman.
context: Are you alone?\I always keep my promises\since I'm a businessman. response:	That's a good attitude, Mr. Smith.
context: Are you alone?\I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith. response:	I'd like to start discussing the deal now.
context: Are you alone?\I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now. response:	Is that okay with you?
context: Are you alone?\I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you? response:	Before we begin,
context: Are you alone?\I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you?\Before we begin, response:	please refrain from smoking in my presence.
context: Are you alone?\I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you?\Before we begin,\please refrain from smoking in my presence. response:	Second-hand smoke contains a higher amount of toxic substances than direct smoke.
context: I always keep my promises\since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you?\Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke. response:	The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,
context: since I'm a businessman.\That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you?\Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms, response:	while there are between 680 and 823 nanograms in second-hand smoke.
context: That's a good attitude, Mr. Smith.\I'd like to start discussing the deal now.\Is that okay with you?\Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke. response:	As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.
context: I'd like to start discussing the deal now.\Is that okay with you?\Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke. response:	A staggering eighteen thousand nanograms.
context: Is that okay with you?\Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms. response:	In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.
context: Before we begin,\please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke. response:	Hold your breath, then.
context: please refrain from smoking in my presence.\Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then. response:	Let's pretend we never met.
context: Second-hand smoke contains a higher amount of toxic substances than direct smoke.\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met. response:	Wait.
context: The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met.\Wait. response:	Hey!
context: while there are between 680 and 823 nanograms in second-hand smoke.\As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met.\Wait.\Hey! response:	Sit down.
context: As a matter of fact, the amount of quinoline from second-hand smoke is eleven times greater than direct smoke.\A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met.\Wait.\Hey!\Sit down. response:	This is only a down payment.
context: A staggering eighteen thousand nanograms.\In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met.\Wait.\Hey!\Sit down.\This is only a down payment. response:	Once I've confirmed its authenticity, I'll pay double.
context: In other words, the health risk of people exposed to second-hand smoke is greater than those who actually smoke.\Hold your breath, then.\Let's pretend we never met.\Wait.\Hey!\Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double. response:	What are you going to do with it once it's in your hands?
context: Hold your breath, then.\Let's pretend we never met.\Wait.\Hey!\Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands? response:	I'll start by killing off about three thousand employees from our rival company.
context: Let's pretend we never met.\Wait.\Hey!\Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company. response:	I'm kidding.
context: Wait.\Hey!\Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding. response:	I'll resell it.
context: Hey!\Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it. response:	Bastard, don't screw around with us...
context: Sit down.\This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it.\Bastard, don't screw around with us... response:	Is it really that valuable?
context: This is only a down payment.\Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable? response:	Of course.
context: Once I've confirmed its authenticity, I'll pay double.\What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable?\Of course. response:	The deal is off.
context: What are you going to do with it once it's in your hands?\I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable?\Of course.\The deal is off. response:	Why?
context: I'll start by killing off about three thousand employees from our rival company.\I'm kidding.\I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable?\Of course.\The deal is off.\Why? response:	If the boss says the deal is off, the deal is off.
context: I'm kidding.\I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable?\Of course.\The deal is off.\Why?\If the boss says the deal is off, the deal is off. response:	I suppose it can't be helped.
context: I'll resell it.\Bastard, don't screw around with us...\Is it really that valuable?\Of course.\The deal is off.\Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped. response:	Get out.
context: Bastard, don't screw around with us...\Is it really that valuable?\Of course.\The deal is off.\Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out. response:	My arm...
context: Is it really that valuable?\Of course.\The deal is off.\Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out.\My arm... response:	Boss...
context: Of course.\The deal is off.\Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out.\My arm...\Boss... response:	Hey, get a hold of yourself.
context: The deal is off.\Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out.\My arm...\Boss...\Hey, get a hold of yourself. response:	Don't tell me you're a...
context: Why?\If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out.\My arm...\Boss...\Hey, get a hold of yourself.\Don't tell me you're a... response:	contractor...
context: If the boss says the deal is off, the deal is off.\I suppose it can't be helped.\Get out.\My arm...\Boss...\Hey, get a hold of yourself.\Don't tell me you're a...\contractor... response:	Stay away! Stay away!
context: I suppose it can't be helped.\Get out.\My arm...\Boss...\Hey, get a hold of yourself.\Don't tell me you're a...\contractor...\Stay away! Stay away! response:	Monster!
context: Get out.\My arm...\Boss...\Hey, get a hold of yourself.\Don't tell me you're a...\contractor...\Stay away! Stay away!\Monster! response:	Hey, my feet... I can't move my feet!
context: My arm...\Boss...\Hey, get a hold of yourself.\Don't tell me you're a...\contractor...\Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet! response:	Don't come any closer!
context: Boss...\Hey, get a hold of yourself.\Don't tell me you're a...\contractor...\Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet!\Don't come any closer! response:	Stay away, monster!
context: Hey, get a hold of yourself.\Don't tell me you're a...\contractor...\Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster! response:	Its location.
context: Don't tell me you're a...\contractor...\Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster!\Its location. response:	I'll talk... I'll talk, so don't kill me!
context: contractor...\Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me! response:	2220 Pier Drive... it's there!
context: Stay away! Stay away!\Monster!\Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there! response:	That's a good attitude.
context: Monster!\Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude. response:	Your remuneration is anything but impressive, as always.
context: Hey, my feet... I can't move my feet!\Don't come any closer!\Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always. response:	Shall we get going?
context: Don't come any closer!\Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going? response:	You're Havoc, correct?
context: Stay away, monster!\Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct? response:	You'll be accompanying us for the next several months.
context: Its location.\I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months. response:	From your right: April,
