context: Composing Message response:	Eat up.
context: Composing Message\Eat up. response:	That's a ton of chocolate.
context: Composing Message\Eat up.\That's a ton of chocolate. response:	Misaki-senpai stayed up late last night, working hard.
context: Composing Message\Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard. response:	Today's Valentine's Day.
context: Composing Message\Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day. response:	And...
context: Composing Message\Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And... response:	Good morning.
context: Composing Message\Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And...\Good morning. response:	G-Good morning. You're up early.
context: Composing Message\Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And...\Good morning.\G-Good morning. You're up early. response:	Yeah. I can't relax, so I figured I'd get going already.
context: Eat up.\That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And...\Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already. response:	I see.
context: That's a ton of chocolate.\Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And...\Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see. response:	See you later.
context: Misaki-senpai stayed up late last night, working hard.\Today's Valentine's Day.\And...\Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later. response:	Aoyama!
context: Today's Valentine's Day.\And...\Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later.\Aoyama! response:	See you later!
context: And...\Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later.\Aoyama!\See you later! response:	The day of Aoyama's audition.
context: Good morning.\G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later.\Aoyama!\See you later!\The day of Aoyama's audition. response:	Hello.
context: G-Good morning. You're up early.\Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later.\Aoyama!\See you later!\The day of Aoyama's audition.\Hello. response:	The artist we asked to do the cover is ill!
context: Yeah. I can't relax, so I figured I'd get going already.\I see.\See you later.\Aoyama!\See you later!\The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill! response:	Nanohana Hall's popularity is up recently, so...
context: I see.\See you later.\Aoyama!\See you later!\The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so... response:	Yeah, so would you be able...
context: See you later.\Aoyama!\See you later!\The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able... response:	to work up a cover right away?
context: Aoyama!\See you later!\The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able...\to work up a cover right away? response:	In color.
context: See you later!\The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able...\to work up a cover right away?\In color. response:	Color?
context: The day of Aoyama's audition.\Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able...\to work up a cover right away?\In color.\Color? response:	Yes, color.
context: Hello.\The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able...\to work up a cover right away?\In color.\Color?\Yes, color. response:	Would yellow be all right?
context: The artist we asked to do the cover is ill!\Nanohana Hall's popularity is up recently, so...\Yeah, so would you be able...\to work up a cover right away?\In color.\Color?\Yes, color.\Would yellow be all right? response:	Yellow?
