context: Ryu. response:	Ryu!
context: Ryu.\Ryu! response:	Are you done checking?
context: Ryu.\Ryu!\Are you done checking? response:	Hmm... This is...
context: Ryu.\Ryu!\Are you done checking?\Hmm... This is... response:	What do you think, Yatsufusa?
context: Ryu.\Ryu!\Are you done checking?\Hmm... This is...\What do you think, Yatsufusa? response:	This is good. I think it'll be interesting.
context: Ryu.\Ryu!\Are you done checking?\Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting. response:	It was worth asking Ryu.
context: Ryu.\Ryu!\Are you done checking?\Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu. response:	Excuse me.
context: Ryu.\Ryu!\Are you done checking?\Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me. response:	Please make this happen.
context: Ryu!\Are you done checking?\Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me.\Please make this happen. response:	Yes, ma'am.
context: Are you done checking?\Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me.\Please make this happen.\Yes, ma'am. response:	Examination period for applicants to be apprentice court herbalists...
context: Hmm... This is...\What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me.\Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists... response:	I see, so it was today.
context: What do you think, Yatsufusa?\This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me.\Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists...\I see, so it was today. response:	What do you mean, I see?
context: This is good. I think it'll be interesting.\It was worth asking Ryu.\Excuse me.\Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists...\I see, so it was today.\What do you mean, I see? response:	Haven't you been getting antsy thinking about this for a while, Zen?
context: It was worth asking Ryu.\Excuse me.\Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists...\I see, so it was today.\What do you mean, I see?\Haven't you been getting antsy thinking about this for a while, Zen? response:	This path that I've started walking on...
context: Excuse me.\Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists...\I see, so it was today.\What do you mean, I see?\Haven't you been getting antsy thinking about this for a while, Zen?\This path that I've started walking on... response:	I wonder what shape, what color, what smell it'll have?
context: Please make this happen.\Yes, ma'am.\Examination period for applicants to be apprentice court herbalists...\I see, so it was today.\What do you mean, I see?\Haven't you been getting antsy thinking about this for a while, Zen?\This path that I've started walking on...\I wonder what shape, what color, what smell it'll have? response:	If I can learn something today that I did not know yesterday...
