context: There you are. response:	They threw my gym clothes in the garbage.
context: There you are.\They threw my gym clothes in the garbage. response:	Did they?
context: There you are.\They threw my gym clothes in the garbage.\Did they? response:	You're right, I remember that now.
context: There you are.\They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now. response:	Everyone's having so much fun. I hate them.
context: There you are.\They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them. response:	I did, didn't I?
context: There you are.\They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I? response:	I hate people in cliques, too.
context: There you are.\They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too. response:	Because it made me feel like I was getting excluded for no good reason.
context: There you are.\They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason. response:	I hate breaks, too.
context: They threw my gym clothes in the garbage.\Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too. response:	Because it felt like everyone was pointing out how isolated I was.
context: Did they?\You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was. response:	I hated teachers, too, because they made us work in groups,
context: You're right, I remember that now.\Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups, response:	and I'd get excluded.
context: Everyone's having so much fun. I hate them.\I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded. response:	I especially hated special events at school.
context: I did, didn't I?\I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school. response:	Thinking back on those days, I can't remember a single thing I didn't hate.
context: I hate people in cliques, too.\Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate. response:	Nobody needs me around, anyway.
context: Because it made me feel like I was getting excluded for no good reason.\I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway. response:	Can I just die?
context: I hate breaks, too.\Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die? response:	You should probably hold off on dying.
context: Because it felt like everyone was pointing out how isolated I was.\I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying. response:	Wait a little longer and you'll make a friend. An annoying one, but still.
context: I hated teachers, too, because they made us work in groups,\and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still. response:	You'll also meet a tall guy who's kind and a girl who's friendly,
context: and I'd get excluded.\I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly, response:	and a kinda-cowardly student council president and his little posse.
context: I especially hated special events at school.\Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse. response:	Lots of people will want to be friends with you.
context: Thinking back on those days, I can't remember a single thing I didn't hate.\Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you. response:	Not only that,
context: Nobody needs me around, anyway.\Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that, response:	but you'll meet someone who cries for you, laughs for you,
context: Can I just die?\You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you, response:	gets sad for you, gets mad for you, and scolds you when you need scolding.
