context: Doctor! Big news! response:	What?! Yamamoto Yumi-san?!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?! response:	Yes! My next opponent is Yamamoto Yumi-san!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san! response:	You're really playing against Yamamoto Yumi-san?!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?! response:	From the Suihoku society?!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?! response:	Yes!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes! response:	Yamamoto Yumi-san!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes!\Yamamoto Yumi-san! response:	Doctor, what should I do?!
context: Doctor! Big news!\What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes!\Yamamoto Yumi-san!\Doctor, what should I do?! response:	Yamamoto Yumi-san...
context: What?! Yamamoto Yumi-san?!\Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes!\Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san... response:	You've got bad luck, Chihaya-chan.
context: Yes! My next opponent is Yamamoto Yumi-san!\You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes!\Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan. response:	Okay, let's try this.
context: You're really playing against Yamamoto Yumi-san?!\From the Suihoku society?!\Yes!\Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this. response:	Yamamoto...
