context: Ladies and gentlemen, good evening. response:	When he visits his fiancee,
context: Ladies and gentlemen, good evening.\When he visits his fiancee, response:	However, none of them are yet aware of the cruel fate that is silently bearing down on them.
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them. response:	Act 7: The Secret Flower Garden
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden response:	Hey!
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey! response:	Count!
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey!\Count! response:	Albert.
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey!\Count!\Albert. response:	What happened?
context: Ladies and gentlemen, good evening.\When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey!\Count!\Albert.\What happened? response:	She isn't feeling well. Haidee is unaccustomed to crowds.
context: When he visits his fiancee,\However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey!\Count!\Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds. response:	You needn't concern yourself. We will meet again.
context: However, none of them are yet aware of the cruel fate that is silently bearing down on them.\Act 7: The Secret Flower Garden\Hey!\Count!\Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again. response:	Let's go back in.
context: Act 7: The Secret Flower Garden\Hey!\Count!\Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in. response:	Okay?
context: Hey!\Count!\Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in.\Okay? response:	I wonder what it was that Haidee saw?
context: Count!\Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in.\Okay?\I wonder what it was that Haidee saw? response:	She looked as if she...
context: Albert.\What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in.\Okay?\I wonder what it was that Haidee saw?\She looked as if she... response:	You saw him? You saw that man?
context: What happened?\She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in.\Okay?\I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man? response:	I've heard that you are engaged to be married...
context: She isn't feeling well. Haidee is unaccustomed to crowds.\You needn't concern yourself. We will meet again.\Let's go back in.\Okay?\I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married... response:	Yes.
context: You needn't concern yourself. We will meet again.\Let's go back in.\Okay?\I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes. response:	Are you happy?
context: Let's go back in.\Okay?\I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes.\Are you happy? response:	I'm sorry. Please excuse me.
context: Okay?\I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes.\Are you happy?\I'm sorry. Please excuse me. response:	I wonder if Haidee is okay?
context: I wonder what it was that Haidee saw?\She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes.\Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay? response:	Who cares about the Count's mistress?
context: She looked as if she...\You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes.\Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress? response:	She isn't like that. He cares for her.
context: You saw him? You saw that man?\I've heard that you are engaged to be married...\Yes.\Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her. response:	Like a master is kind towards his pet dog.
context: I've heard that you are engaged to be married...\Yes.\Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog. response:	Don't put the Count on the same level as people like that!
context: Yes.\Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that! response:	The Count and Haidee have... Um...
context: Are you happy?\I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um... response:	A relationship as two independent adults. Where they both care for each other and...
context: I'm sorry. Please excuse me.\I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and... response:	Forget about other people. What about you?
context: I wonder if Haidee is okay?\Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you? response:	How do you feel about Eugenie?
context: Who cares about the Count's mistress?\She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie? response:	You're not one to talk.
context: She isn't like that. He cares for her.\Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk. response:	The aristocracy doesn't marry for love, they marry for money and honor.
context: Like a master is kind towards his pet dog.\Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor. response:	Is what Maximilien said still bothering you?
context: Don't put the Count on the same level as people like that!\The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you? response:	He was right. As much as I hate to admit it.
context: The Count and Haidee have... Um...\A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it. response:	That's how marriages work, you know?
context: A relationship as two independent adults. Where they both care for each other and...\Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know? response:	I'm not getting married because I want to, either.
context: Forget about other people. What about you?\How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either. response:	Baron Franz d'Epinay! I'd like a word.
context: How do you feel about Eugenie?\You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word. response:	Why aren't you with your fiancee?
context: You're not one to talk.\The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee? response:	How is that any of your business?
context: The aristocracy doesn't marry for love, they marry for money and honor.\Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business? response:	Don't you love her?!
