context: Suicide? response:	That idiot...
context: Suicide?\That idiot... response:	Kei?
context: Suicide?\That idiot...\Kei? response:	I'm sending you the info on this Elbaji guy and his company.
context: Suicide?\That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company. response:	Cammy, I'm not seeing it.
context: Suicide?\That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it. response:	Don't you have something to say?
context: Suicide?\That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say? response:	Thank you.
context: Suicide?\That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say?\Thank you. response:	What happened to that Tilarna girl?
context: Suicide?\That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say?\Thank you.\What happened to that Tilarna girl? response:	I haven't seen her...
context: That idiot...\Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say?\Thank you.\What happened to that Tilarna girl?\I haven't seen her... response:	Oh, she's in the sleeping room.
context: Kei?\I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say?\Thank you.\What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room. response:	She's in a new city. It's tiring her out.
context: I'm sending you the info on this Elbaji guy and his company.\Cammy, I'm not seeing it.\Don't you have something to say?\Thank you.\What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out. response:	So what's with the sword, then?
context: Cammy, I'm not seeing it.\Don't you have something to say?\Thank you.\What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then? response:	Sorry. I took my eyes off her for a minute and she split.
context: Don't you have something to say?\Thank you.\What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split. response:	Bring her back. Now.
context: Thank you.\What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now. response:	I don't want people complaining about the investigation.
context: What happened to that Tilarna girl?\I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation. response:	Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.
context: I haven't seen her...\Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific. response:	Beyond the gate lay a strange world filled with fairies and monsters.
context: Oh, she's in the sleeping room.\She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters. response:	Kariaena Island. The city of San-Teresa.
context: She's in a new city. It's tiring her out.\So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa. response:	This city is Earth's front door.
context: So what's with the sword, then?\Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door. response:	Over two million citizens from both worlds live here.
context: Sorry. I took my eyes off her for a minute and she split.\Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here. response:	A mixture of different races and diverse cultures, haves and have-nots...
context: Bring her back. Now.\I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots... response:	The world's newest city of dreams.
context: I don't want people complaining about the investigation.\Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams. response:	But in the shadows of all this chaos lurked countless crimes.
context: Fifteen years ago, a hyperspace gate appeared in the middle of the Pacific.\Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes. response:	Drugs. Prostitution.
context: Beyond the gate lay a strange world filled with fairies and monsters.\Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution. response:	Weapons smuggling.
context: Kariaena Island. The city of San-Teresa.\This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling. response:	The San-Teresa Metropolitan Police maintained
context: This city is Earth's front door.\Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained response:	a special unit to deal with these crimes.
context: Over two million citizens from both worlds live here.\A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes. response:	Well?
context: A mixture of different races and diverse cultures, haves and have-nots...\The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well? response:	Without my help, you'd have been turned away at the front door, Sister Tilarna.
context: The world's newest city of dreams.\But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna. response:	Be grateful to the God of Earth.
context: But in the shadows of all this chaos lurked countless crimes.\Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth. response:	Does your God help with fake IDs?
context: Drugs. Prostitution.\Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs? response:	I would've preferred a more normal outfit, though.
context: Weapons smuggling.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though. response:	Don't let it look like it's bothering you.
context: The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you. response:	On Earth, high-ranking women walk like this.
context: a special unit to deal with these crimes.\Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this. response:	Now try it.
context: Well?\Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it. response:	Like this?
context: Without my help, you'd have been turned away at the front door, Sister Tilarna.\Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it.\Like this? response:	Hallelujah! Hallelujah!
context: Be grateful to the God of Earth.\Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it.\Like this?\Hallelujah! Hallelujah! response:	Don't you think that's wonderful, Brother Kenny?
context: Does your God help with fake IDs?\I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it.\Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny? response:	Cute...
context: I would've preferred a more normal outfit, though.\Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it.\Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute... response:	I can't stand this stuff.
context: Don't let it look like it's bothering you.\On Earth, high-ranking women walk like this.\Now try it.\Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute...\I can't stand this stuff. response:	Play some damn disco music.
context: On Earth, high-ranking women walk like this.\Now try it.\Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute...\I can't stand this stuff.\Play some damn disco music. response:	This isn't that kind of place.
context: Now try it.\Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute...\I can't stand this stuff.\Play some damn disco music.\This isn't that kind of place. response:	This is far enough.
context: Like this?\Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute...\I can't stand this stuff.\Play some damn disco music.\This isn't that kind of place.\This is far enough. response:	Here's your payment.
context: Hallelujah! Hallelujah!\Don't you think that's wonderful, Brother Kenny?\Cute...\I can't stand this stuff.\Play some damn disco music.\This isn't that kind of place.\This is far enough.\Here's your payment. response:	That was easy. Thank you.
