context: Hey, little boy! That thing I asked you to do yesterday response:	Right, right!
context: Hey, little boy! That thing I asked you to do yesterday\Right, right! response:	Those limited edition figurines from Akiba and the yokan from Masuya, right?
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right? response:	I already got them for you.
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you. response:	Well, well! Aren't you Mr. Competent?
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent? response:	Dammit, who would've thought Ms. Hana was such a callous mom!
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom! response:	Just you wait... I'll get back at you for this!
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this! response:	Chitoge! Over here, over here!
context: Hey, little boy! That thing I asked you to do yesterday\Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here! response:	Thanks for waiting, you two!
context: Right, right!\Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two! response:	It's another chilly day, huh?
context: Those limited edition figurines from Akiba and the yokan from Masuya, right?\I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh? response:	Where should we shop today?
context: I already got them for you.\Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today? response:	Hey, you're not wearing your usual ribbon today?
context: Well, well! Aren't you Mr. Competent?\Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today? response:	Is this a make-over?
context: Dammit, who would've thought Ms. Hana was such a callous mom!\Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over? response:	Uh, yeah, I guess you could call it that.
context: Just you wait... I'll get back at you for this!\Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that. response:	Oh? Well, I think that one looks good on you, too!
context: Chitoge! Over here, over here!\Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too! response:	Hey, by the way, what's going on with that Christmas party?
context: Thanks for waiting, you two!\It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party? response:	You know, Shu's idea...
context: It's another chilly day, huh?\Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea... response:	Looks like it's a go for tomorrow!
context: Where should we shop today?\Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow! response:	We're inviting people from our class, and we'll all be there, too.
context: Hey, you're not wearing your usual ribbon today?\Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too. response:	Today we're getting gifts for the grab bag.
context: Is this a make-over?\Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag. response:	Would you mind if I came, too?
context: Uh, yeah, I guess you could call it that.\Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too? response:	Mother
context: Oh? Well, I think that one looks good on you, too!\Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother response:	Here.
context: Hey, by the way, what's going on with that Christmas party?\You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother\Here. response:	The reservation for your company dinner and all the schedule adjustments are done!
context: You know, Shu's idea...\Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done! response:	Please give me my next task!
context: Looks like it's a go for tomorrow!\We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task! response:	Oh, my, you took care of that quicker than I thought.
context: We're inviting people from our class, and we'll all be there, too.\Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought. response:	What on earth has gotten into you?
context: Today we're getting gifts for the grab bag.\Would you mind if I came, too?\Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you? response:	Your work has been stellar the last few days.
context: Would you mind if I came, too?\Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days. response:	Well, not that you haven't been a godsend.
context: Mother\Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend. response:	It looks like I'll have to add a generous tip to your paycheck!
context: Here.\The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck! response:	I'm getting paid?
context: The reservation for your company dinner and all the schedule adjustments are done!\Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid? response:	Of course you are.
