context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	The U.A. sports festival is drawing near.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near. response:	Of course, joining a famous hero agency will get you more experience and popularity.
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity. response:	One chance a year-
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year- response:	a total of just three chances.
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances. response:	No aspiring heroes can afford to miss this event.
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event. response:	If you understand that, then don't slack off on your preparations!
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations! response:	Yes, sir!
context: Yes, this is the story of how I became the greatest hero.\The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir! response:	Roaring Sports Festival
context: The U.A. sports festival is drawing near.\Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival response:	The U.A. sports festival is something pro heroes-
context: Of course, joining a famous hero agency will get you more experience and popularity.\One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes- response:	no, the whole country- is watching closely. A big event!
context: One chance a year-\a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event! response:	That is what I brought you here to talk about!
context: a total of just three chances.\No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about! response:	The next All Might... The fledgling Symbol of Peace...
context: No aspiring heroes can afford to miss this event.\If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace... response:	Izuku Midoriya.
context: If you understand that, then don't slack off on your preparations!\Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya. response:	I want you to tell the world I am here!
context: Yes, sir!\Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here! response:	I am here...
context: Roaring Sports Festival\The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\I am here... response:	But how...?
context: The U.A. sports festival is something pro heroes-\no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\I am here...\But how...? response:	You know the sports festival system, right?
context: no, the whole country- is watching closely. A big event!\That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\I am here...\But how...?\You know the sports festival system, right? response:	Yes, of course!
context: That is what I brought you here to talk about!\The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\I am here...\But how...?\You know the sports festival system, right?\Yes, of course! response:	The support, business, general studies, and hero courses come together
context: The next All Might... The fledgling Symbol of Peace...\Izuku Midoriya.\I want you to tell the world I am here!\I am here...\But how...?\You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together response:	First-Year Stage
