context: Be careful out there, Jintan! response:	Yadomi?
context: Be careful out there, Jintan!\Yadomi? response:	I'm fine!
context: Be careful out there, Jintan!\Yadomi?\I'm fine! response:	Yukiatsu...
context: Be careful out there, Jintan!\Yadomi?\I'm fine!\Yukiatsu... response:	That dress...
context: Be careful out there, Jintan!\Yadomi?\I'm fine!\Yukiatsu...\That dress... response:	It looks like the one Menma used to wear.
context: Be careful out there, Jintan!\Yadomi?\I'm fine!\Yukiatsu...\That dress...\It looks like the one Menma used to wear. response:	Wh-Why are you wearing that?
context: Be careful out there, Jintan!\Yadomi?\I'm fine!\Yukiatsu...\That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that? response:	Hey... are you okay?
context: Be careful out there, Jintan!\Yadomi?\I'm fine!\Yukiatsu...\That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay? response:	Do I look okay?
context: Yadomi?\I'm fine!\Yukiatsu...\That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay? response:	Take a good look at me!
context: I'm fine!\Yukiatsu...\That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay?\Take a good look at me! response:	Hey, Yukiatsu!
context: Yukiatsu...\That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay?\Take a good look at me!\Hey, Yukiatsu! response:	Please. Let them work this out.
context: That dress...\It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay?\Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out. response:	But...
context: It looks like the one Menma used to wear.\Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay?\Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out.\But... response:	This is the perfect chance. If he doesn't take advantage of it, there may not be another.
context: Wh-Why are you wearing that?\Hey... are you okay?\Do I look okay?\Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another. response:	Tsuruko...
