context: I want to see how you live in this country, response:	and the place where I'll be able to do that is where I've decided to go.
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go. response:	I hope I can see you from that place, too.
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too. response:	Zen...
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen... response:	Shirayuki?!
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki?! response:	Wait, I'll come down.
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki?!\Wait, I'll come down. response:	Zen! I'll go to you!
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you! response:	Here!
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you!\Here! response:	I can't believe you knew I was here.
context: and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Zen...\Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you!\Here!\I can't believe you knew I was here. response:	Oh, I saw you walk by from below.
context: I hope I can see you from that place, too.\Zen...\Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you!\Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below. response:	But I thought you'd already gone.
context: Zen...\Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you!\Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone. response:	You called out my name, didn't you?
context: Shirayuki?!\Wait, I'll come down.\Zen! I'll go to you!\Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you? response:	I heard you.
context: Wait, I'll come down.\Zen! I'll go to you!\Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you?\I heard you. response:	Did something happen?
context: Zen! I'll go to you!\Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you?\I heard you.\Did something happen? response:	Yeah, kind of.
