context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	The second round of the U.A. sports festival first-year stage is...
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is... response:	A cavalry battle with the top 42 from the qualifier!
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier! response:	Izuku Midoriya, who placed first in the qualifier, is worth ten million points!
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points! response:	It's survival of the fittest, with a chance for those at the bottom to overthrow the top!
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top! response:	Bakugo and Todoroki aren't the only ones who see you as a rival.
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival. response:	I will challenge you.
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you. response:	Uraraka.
context: Yes, this is the story of how I became the greatest hero.\The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka. response:	Yes!
context: The second round of the U.A. sports festival first-year stage is...\A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka.\Yes! response:	Hatsume.
context: A cavalry battle with the top 42 from the qualifier!\Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka.\Yes!\Hatsume. response:	Tokoyami.
context: Izuku Midoriya, who placed first in the qualifier, is worth ten million points!\It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka.\Yes!\Hatsume.\Tokoyami. response:	Yeah.
context: It's survival of the fittest, with a chance for those at the bottom to overthrow the top!\Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka.\Yes!\Hatsume.\Tokoyami.\Yeah. response:	I'm counting on you!
context: Bakugo and Todoroki aren't the only ones who see you as a rival.\I will challenge you.\Uraraka.\Yes!\Hatsume.\Tokoyami.\Yeah.\I'm counting on you! response:	I know!
context: I will challenge you.\Uraraka.\Yes!\Hatsume.\Tokoyami.\Yeah.\I'm counting on you!\I know! response:	Tokoyami!
context: Uraraka.\Yes!\Hatsume.\Tokoyami.\Yeah.\I'm counting on you!\I know!\Tokoyami! response:	Call me Tsu!
context: Yes!\Hatsume.\Tokoyami.\Yeah.\I'm counting on you!\I know!\Tokoyami!\Call me Tsu! response:	Kacchan!
context: Hatsume.\Tokoyami.\Yeah.\I'm counting on you!\I know!\Tokoyami!\Call me Tsu!\Kacchan! response:	Don't get carried away!
context: Tokoyami.\Yeah.\I'm counting on you!\I know!\Tokoyami!\Call me Tsu!\Kacchan!\Don't get carried away! response:	Damn it!
context: Yeah.\I'm counting on you!\I know!\Tokoyami!\Call me Tsu!\Kacchan!\Don't get carried away!\Damn it! response:	Tokoyami!
context: I'm counting on you!\I know!\Tokoyami!\Call me Tsu!\Kacchan!\Don't get carried away!\Damn it!\Tokoyami! response:	I'll be taking that now.
context: I know!\Tokoyami!\Call me Tsu!\Kacchan!\Don't get carried away!\Damn it!\Tokoyami!\I'll be taking that now. response:	Cavalry Battle Finale
context: Tokoyami!\Call me Tsu!\Kacchan!\Don't get carried away!\Damn it!\Tokoyami!\I'll be taking that now.\Cavalry Battle Finale response:	It was a good plan, so I joined the team even though it was you.
