context: The illustrations done by a mysterious beauty, Yumemi Yumeno, response:	are said to make romantic wishes come true.
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true. response:	Somehow her illustrations just feel very nostalgic.
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic. response:	What?! This innocent maiden
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden response:	has one of the rainbow crystals?!
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?! response:	What'll I do?! Oh, I don't have time to worry over this!
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this! response:	In the name of the moon, Sailor Moon will punish you!
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: The illustrations done by a mysterious beauty, Yumemi Yumeno,\are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: are said to make romantic wishes come true.\Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: Somehow her illustrations just feel very nostalgic.\What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: What?! This innocent maiden\has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: has one of the rainbow crystals?!\What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: What'll I do?! Oh, I don't have time to worry over this!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
