context: True Calendar year 61. response:	Hurry up and catch him!
context: True Calendar year 61.\Hurry up and catch him! response:	He's just a kid!
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid! response:	Wait, waaait!
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid!\Wait, waaait! response:	Who are you?
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid!\Wait, waaait!\Who are you? response:	There he is!
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid!\Wait, waaait!\Who are you?\There he is! response:	Shoot him!
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid!\Wait, waaait!\Who are you?\There he is!\Shoot him! response:	Don't! You'll hit Her Highness'
context: True Calendar year 61.\Hurry up and catch him!\He's just a kid!\Wait, waaait!\Who are you?\There he is!\Shoot him!\Don't! You'll hit Her Highness' response:	Freeze!
context: Hurry up and catch him!\He's just a kid!\Wait, waaait!\Who are you?\There he is!\Shoot him!\Don't! You'll hit Her Highness'\Freeze! response:	Drop your guns! Do it, or I'll kill her!
context: He's just a kid!\Wait, waaait!\Who are you?\There he is!\Shoot him!\Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her! response:	There's nowhere left to run! Let Her Highness go!
context: Wait, waaait!\Who are you?\There he is!\Shoot him!\Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go! response:	You awake?
context: Who are you?\There he is!\Shoot him!\Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake? response:	Hey, can you hear me?
context: There he is!\Shoot him!\Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me? response:	Don't ignore me!
context: Shoot him!\Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me?\Don't ignore me! response:	This guy pisses me off...
context: Don't! You'll hit Her Highness'\Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me?\Don't ignore me!\This guy pisses me off... response:	You have six hours.
context: Freeze!\Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me?\Don't ignore me!\This guy pisses me off...\You have six hours. response:	Until what?
context: Drop your guns! Do it, or I'll kill her!\There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me?\Don't ignore me!\This guy pisses me off...\You have six hours.\Until what? response:	That's how long you have until this country of yours falls.
context: There's nowhere left to run! Let Her Highness go!\You awake?\Hey, can you hear me?\Don't ignore me!\This guy pisses me off...\You have six hours.\Until what?\That's how long you have until this country of yours falls. response:	The hell?!
context: You awake?\Hey, can you hear me?\Don't ignore me!\This guy pisses me off...\You have six hours.\Until what?\That's how long you have until this country of yours falls.\The hell?! response:	Let it go, Yamada.
context: Hey, can you hear me?\Don't ignore me!\This guy pisses me off...\You have six hours.\Until what?\That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada. response:	Don't!
context: Don't ignore me!\This guy pisses me off...\You have six hours.\Until what?\That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada.\Don't! response:	It's Thunder!
context: This guy pisses me off...\You have six hours.\Until what?\That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada.\Don't!\It's Thunder! response:	Another enemy attack is coming?
context: You have six hours.\Until what?\That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada.\Don't!\It's Thunder!\Another enemy attack is coming? response:	Tokishima Haruto.
context: Until what?\That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada.\Don't!\It's Thunder!\Another enemy attack is coming?\Tokishima Haruto. response:	You haven't given me an answer regarding our pact yet.
context: That's how long you have until this country of yours falls.\The hell?!\Let it go, Yamada.\Don't!\It's Thunder!\Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet. response:	Make a pact with me, and I will save you.
context: The hell?!\Let it go, Yamada.\Don't!\It's Thunder!\Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you. response:	Both you and this country.
context: Let it go, Yamada.\Don't!\It's Thunder!\Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country. response:	I wasn't strong enough, that's why...
context: Don't!\It's Thunder!\Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why... response:	You're lying... It can't be...
