context: Hey, Natsu... Our guild's gained a lot of members. response:	There's Lucy... And then Gajeel and Juvia, right?
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right? response:	And now Wendy and Carla!
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla! response:	Maybe I'm one of those bringers of good luck?
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck? response:	You mean like a Lucky Cat?
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat? response:	Or a jinx?!
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?! response:	Now look here!
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?!\Now look here! response:	There isn't any one that really jumps out...
context: Hey, Natsu... Our guild's gained a lot of members.\There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?!\Now look here!\There isn't any one that really jumps out... response:	Already searching for your next job?
context: There's Lucy... And then Gajeel and Juvia, right?\And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?!\Now look here!\There isn't any one that really jumps out...\Already searching for your next job? response:	You've pretty much gotten used to the work here, Wendy.
context: And now Wendy and Carla!\Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?!\Now look here!\There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy. response:	You say that, but she's only taken simple jobs located here in the city!
context: Maybe I'm one of those bringers of good luck?\You mean like a Lucky Cat?\Or a jinx?!\Now look here!\There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city! response:	Hey, Carla!
context: You mean like a Lucky Cat?\Or a jinx?!\Now look here!\There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla! response:	I think that doing a bunch of small jobs to gain experience is important.
context: Or a jinx?!\Now look here!\There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important. response:	But shouldn't you try doin' a big job pretty soon?
context: Now look here!\There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon? response:	Yeah. Like a request from a distant town.
context: There isn't any one that really jumps out...\Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town. response:	I want to be able to do big jobs soon, and be of help to everyone!
