context: Tsuritama Episode 5 response:	Discouraged Jerking
context: Tsuritama Episode 5\Discouraged Jerking response:	Summer vacation started.
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started. response:	I see.
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started.\I see. response:	I figured you'd want one.
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started.\I see.\I figured you'd want one. response:	Yeah.
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started.\I see.\I figured you'd want one.\Yeah. response:	Just looking at them made me want my own.
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started.\I see.\I figured you'd want one.\Yeah.\Just looking at them made me want my own. response:	You're gonna buy your own pole, Yuki?
context: Tsuritama Episode 5\Discouraged Jerking\Summer vacation started.\I see.\I figured you'd want one.\Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki? response:	Besides, I figured we shouldn't be
context: Discouraged Jerking\Summer vacation started.\I see.\I figured you'd want one.\Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be response:	borrowing poles from Misaki-san forever.
context: Summer vacation started.\I see.\I figured you'd want one.\Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever. response:	It's okay. Misaki's nice!
context: I see.\I figured you'd want one.\Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice! response:	I don't think she's bothered by that,
context: I figured you'd want one.\Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that, response:	but I guess you would want your own.
context: Yeah.\Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own. response:	Yeah.
context: Just looking at them made me want my own.\You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own.\Yeah. response:	Maybe I'll get one, too.
context: You're gonna buy your own pole, Yuki?\Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own.\Yeah.\Maybe I'll get one, too. response:	I understand. I was like that once, too.
context: Besides, I figured we shouldn't be\borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own.\Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too. response:	I didn't really get into fishing
context: borrowing poles from Misaki-san forever.\It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own.\Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too.\I didn't really get into fishing response:	until I bought my own gear.
context: It's okay. Misaki's nice!\I don't think she's bothered by that,\but I guess you would want your own.\Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too.\I didn't really get into fishing\until I bought my own gear. response:	But they're pretty expensive.
context: I don't think she's bothered by that,\but I guess you would want your own.\Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too.\I didn't really get into fishing\until I bought my own gear.\But they're pretty expensive. response:	There's actually a wide range,
context: but I guess you would want your own.\Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too.\I didn't really get into fishing\until I bought my own gear.\But they're pretty expensive.\There's actually a wide range, response:	but if you're going to buy one,
context: Yeah.\Maybe I'll get one, too.\I understand. I was like that once, too.\I didn't really get into fishing\until I bought my own gear.\But they're pretty expensive.\There's actually a wide range,\but if you're going to buy one, response:	you might as well get something good.
