context: Yume miru you ni koi o shita no response:	Fukuramu kokoro ga fukuramu no yo
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo response:	Ikiteru tte suteki na koto to omotta
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta response:	Asu ga machidoushii
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii response:	Anata no chikara ni naritai no
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no response:	Donna toki ni mo watashi
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi response:	Matte matte kurenai
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai response:	Hashitte hashitte yuku no yo
context: Yume miru you ni koi o shita no\Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo response:	Kaze mo amagumo mo oikoshite
context: Fukuramu kokoro ga fukuramu no yo\Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite response:	Watashi dake no tsubasa habataite
context: Ikiteru tte suteki na koto to omotta\Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite response:	I loved like I was dreaming
context: Asu ga machidoushii\Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming response:	It swells... My heart swells
context: Anata no chikara ni naritai no\Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Donna toki ni mo watashi\Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: Matte matte kurenai\Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: Hashitte hashitte yuku no yo\Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: Kaze mo amagumo mo oikoshite\Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: Watashi dake no tsubasa habataite\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
