context: I didn't know you were in a relationship, Akane. response:	Miu messaged me on LINE.
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE. response:	Why?
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why? response:	She was in my class in first year.
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why?\She was in my class in first year. response:	The news is spreading?
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why?\She was in my class in first year.\The news is spreading? response:	No way...
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why?\She was in my class in first year.\The news is spreading?\No way... response:	I mean, even I'm getting messages about it now.
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why?\She was in my class in first year.\The news is spreading?\No way...\I mean, even I'm getting messages about it now. response:	School check-in day could be rough.
context: I didn't know you were in a relationship, Akane.\Miu messaged me on LINE.\Why?\She was in my class in first year.\The news is spreading?\No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough. response:	You're going to get so much attention.
context: Miu messaged me on LINE.\Why?\She was in my class in first year.\The news is spreading?\No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention. response:	Isn't it next week?
context: Why?\She was in my class in first year.\The news is spreading?\No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention.\Isn't it next week? response:	August 10th?
context: She was in my class in first year.\The news is spreading?\No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention.\Isn't it next week?\August 10th? response:	Oh, yeah, you're right.
context: The news is spreading?\No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention.\Isn't it next week?\August 10th?\Oh, yeah, you're right. response:	School's such a pain.
context: No way...\I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention.\Isn't it next week?\August 10th?\Oh, yeah, you're right.\School's such a pain. response:	Open for Prayers
context: I mean, even I'm getting messages about it now.\School check-in day could be rough.\You're going to get so much attention.\Isn't it next week?\August 10th?\Oh, yeah, you're right.\School's such a pain.\Open for Prayers response:	Let's take ten.
context: School check-in day could be rough.\You're going to get so much attention.\Isn't it next week?\August 10th?\Oh, yeah, you're right.\School's such a pain.\Open for Prayers\Let's take ten. response:	I'll do my best
context: You're going to get so much attention.\Isn't it next week?\August 10th?\Oh, yeah, you're right.\School's such a pain.\Open for Prayers\Let's take ten.\I'll do my best response:	Want to go home together after school?
context: Isn't it next week?\August 10th?\Oh, yeah, you're right.\School's such a pain.\Open for Prayers\Let's take ten.\I'll do my best\Want to go home together after school? response:	Sorry
context: August 10th?\Oh, yeah, you're right.\School's such a pain.\Open for Prayers\Let's take ten.\I'll do my best\Want to go home together after school?\Sorry response:	Sorry, I have practice
context: Oh, yeah, you're right.\School's such a pain.\Open for Prayers\Let's take ten.\I'll do my best\Want to go home together after school?\Sorry\Sorry, I have practice response:	Sorry
context: School's such a pain.\Open for Prayers\Let's take ten.\I'll do my best\Want to go home together after school?\Sorry\Sorry, I have practice\Sorry response:	Dazai once said, There is such a thing as love in this world. I'm sure of it.
context: Open for Prayers\Let's take ten.\I'll do my best\Want to go home together after school?\Sorry\Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it. response:	It's the expression the etiquette of love that is so hard to find.
context: Let's take ten.\I'll do my best\Want to go home together after school?\Sorry\Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find. response:	What? Seriously?
