context: Yuueisha response:	What are you doing?!
context: Yuueisha\What are you doing?! response:	Hattori-san, you said that in three years,
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years, response:	we'll be able to compete with mainstream.
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream. response:	You never intended to serialize our cult story...
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story... response:	Kono Yo wa Kane to Chie in the first place, did you?
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you? response:	So starting now, we're doing mainstream!
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream! response:	Didn't I tell you that you would get popular without doing mainstream?!
context: Yuueisha\What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?! response:	No, we want to do mainstream!
context: What are you doing?!\Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream! response:	Niizuma-kun is a genius-type.
context: Hattori-san, you said that in three years,\we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type. response:	Even if you do mainstream, you won't be able to beat him.
context: we'll be able to compete with mainstream.\You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him. response:	And it's the general viewpoint of the editorial department...
context: You never intended to serialize our cult story...\Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department... response:	that Niizuma-kun won't be able to become number one in the main magazine.
context: Kono Yo wa Kane to Chie in the first place, did you?\So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine. response:	How can you be sure we won't win against Niizuma-san?
context: So starting now, we're doing mainstream!\Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san? response:	Still...?
context: Didn't I tell you that you would get popular without doing mainstream?!\No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...? response:	Our mainstream won't even be appearing together with Niizuma-san.
context: No, we want to do mainstream!\Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san. response:	After seeing your name today, I can tell!
context: Niizuma-kun is a genius-type.\Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell! response:	To be exact, you're saying...
context: Even if you do mainstream, you won't be able to beat him.\And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying... response:	I can tell you can't win with this particular name.
context: And it's the general viewpoint of the editorial department...\that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name. response:	Right?
context: that Niizuma-kun won't be able to become number one in the main magazine.\How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name.\Right? response:	All right.
context: How can you be sure we won't win against Niizuma-san?\Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name.\Right?\All right. response:	Half a year!
context: Still...?\Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name.\Right?\All right.\Half a year! response:	If you can't make a name that I approve of in half a year,
context: Our mainstream won't even be appearing together with Niizuma-san.\After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name.\Right?\All right.\Half a year!\If you can't make a name that I approve of in half a year, response:	you will follow my plan.
context: After seeing your name today, I can tell!\To be exact, you're saying...\I can tell you can't win with this particular name.\Right?\All right.\Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan. response:	And then if you still insist on doing mainstream,
context: To be exact, you're saying...\I can tell you can't win with this particular name.\Right?\All right.\Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream, response:	I'll step down as your editor!
context: I can tell you can't win with this particular name.\Right?\All right.\Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor! response:	Are you all right with that?!
context: Right?\All right.\Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?! response:	Yes!
context: All right.\Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?!\Yes! response:	Mainstream?
context: Half a year!\If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?!\Yes!\Mainstream? response:	For the current Jack, I don't think there's room for any more to come in.
context: If you can't make a name that I approve of in half a year,\you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?!\Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in. response:	And with mainstream, you can't tell how the votes will go.
context: you will follow my plan.\And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?!\Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go. response:	You won't know unless you run it, but in my honest opinion...
context: And then if you still insist on doing mainstream,\I'll step down as your editor!\Are you all right with that?!\Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion... response:	this name is no good.
context: I'll step down as your editor!\Are you all right with that?!\Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good. response:	I can tell you with certainty that this wouldn't rank high even in NEXT!
context: Are you all right with that?!\Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT! response:	First of all, it has no originality...
context: Yes!\Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality... response:	A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,
context: Mainstream?\For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together, response:	but none of those ever become hits.
context: For the current Jack, I don't think there's room for any more to come in.\And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits. response:	Okay.
context: And with mainstream, you can't tell how the votes will go.\You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay. response:	Just as I expected, Hattori-san's analysis is right on the mark.
context: You won't know unless you run it, but in my honest opinion...\this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark. response:	Newcomers that try to draw mainstream fantasy battle manga...
context: this name is no good.\I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga... response:	are always basically the same.
context: I can tell you with certainty that this wouldn't rank high even in NEXT!\First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same. response:	The biggest point is having a view of a world that pulls the readers in.
context: First of all, it has no originality...\A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in. response:	A clear, palatable reason is given for why the protagonist has to fight.
context: A lot of newcomers bring in works that have good points from hit mainstream manga cobbled together,\but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight. response:	He has an intensity to him that looks cool,
context: but none of those ever become hits.\Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool, response:	and then there's a battle where it's easy to tell what will happen.
context: Okay.\Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen. response:	There's an enemy character who is as appealing as the main character, if not more so.
context: Just as I expected, Hattori-san's analysis is right on the mark.\Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so. response:	And if possible, it's good to have a cute heroine.
context: Newcomers that try to draw mainstream fantasy battle manga...\are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine. response:	There there are some laughs...
context: are always basically the same.\The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs... response:	and some tear-jerking scenes, which are always strong.
context: The biggest point is having a view of a world that pulls the readers in.\A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong. response:	Thank you very much!
context: A clear, palatable reason is given for why the protagonist has to fight.\He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much! response:	Even though we're going against your wishes,
context: He has an intensity to him that looks cool,\and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes, response:	thank you for giving us advice, Hattori-san.
context: and then there's a battle where it's easy to tell what will happen.\There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san. response:	I believe you're thoroughly unsuited to doing mainstream.
context: There's an enemy character who is as appealing as the main character, if not more so.\And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream. response:	What I'm saying right now are...
context: And if possible, it's good to have a cute heroine.\There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are... response:	just some honest facts to stop you from doing mainstream.
context: There there are some laughs...\and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream. response:	I told you tear-jerking scenes are strong ones, didn't I?
context: and some tear-jerking scenes, which are always strong.\Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I? response:	Yes.
