context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Controlling blood. That is my magic.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic. response:	Ever since I cast that spell on you,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you, response:	I've been able to manipulate your blood as I please.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please. response:	Now, for your first task...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task... response:	I shall force you to kill everyone here with your own two hands.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands. response:	Kill every last one of them perfectly.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly. response:	Asta fell under the Queen of Witches' control and tried to kill his friends, but...
context: He was called the Wizard King, and he became a legend.\Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but... response:	Please! Make him stop!
context: Controlling blood. That is my magic.\Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop! response:	No.
context: Ever since I cast that spell on you,\I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No. response:	You cannot escape me.
context: I've been able to manipulate your blood as I please.\Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No.\You cannot escape me. response:	After all, you are my daughter. My family.
context: Now, for your first task...\I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No.\You cannot escape me.\After all, you are my daughter. My family. response:	I'm... part of your family?
context: I shall force you to kill everyone here with your own two hands.\Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No.\You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family? response:	You're not my family!
context: Kill every last one of them perfectly.\Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No.\You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family?\You're not my family! response:	The Black Bulls are!
context: Asta fell under the Queen of Witches' control and tried to kill his friends, but...\Please! Make him stop!\No.\You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family?\You're not my family!\The Black Bulls are! response:	A new spell activated, arising from Vanessa's strong love for her friends.
context: Please! Make him stop!\No.\You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family?\You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends. response:	The red thread... of fate.
context: No.\You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family?\You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate. response:	Puppet's Blood has come undone?
context: You cannot escape me.\After all, you are my daughter. My family.\I'm... part of your family?\You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone? response:	This magic only takes the side of myself and those I have a family bond with.
context: After all, you are my daughter. My family.\I'm... part of your family?\You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with. response:	You and I have no bond.
context: I'm... part of your family?\You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with.\You and I have no bond. response:	I'm Home
context: You're not my family!\The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with.\You and I have no bond.\I'm Home response:	You and I have no bond.
context: The Black Bulls are!\A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with.\You and I have no bond.\I'm Home\You and I have no bond. response:	Impossible...
context: A new spell activated, arising from Vanessa's strong love for her friends.\The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with.\You and I have no bond.\I'm Home\You and I have no bond.\Impossible... response:	Your Majesty, look! I made a doll out of thread!
context: The red thread... of fate.\Puppet's Blood has come undone?\This magic only takes the side of myself and those I have a family bond with.\You and I have no bond.\I'm Home\You and I have no bond.\Impossible...\Your Majesty, look! I made a doll out of thread! response:	My, it's so well-made.
