context: The father who fed his son to the demons to fulfill his ambitions. response:	The son who crawled from the ashes to regain the body snatched away from him.
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him. response:	Here, in Daigo's land that thrives upon the son's sacrifice,
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice, response:	the two meet for the first time.
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time. response:	Hyakkimaru knows not what those flames mean.
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean. response:	Yet, he is drawn to them.
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them. response:	Who... are you?
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you? response:	Party is over
context: The father who fed his son to the demons to fulfill his ambitions.\The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you?\Party is over response:	But I still wanna dance
context: The son who crawled from the ashes to regain the body snatched away from him.\Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you?\Party is over\But I still wanna dance response:	I can't even sleep
context: Here, in Daigo's land that thrives upon the son's sacrifice,\the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you?\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: the two meet for the first time.\Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Hyakkimaru knows not what those flames mean.\Yet, he is drawn to them.\Who... are you?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Yet, he is drawn to them.\Who... are you?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Who... are you?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
