context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create... response:	Sacrifice!
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice! response:	Wait, isn't that skill
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill response:	I can do this!
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill\I can do this! response:	You're mine!
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill\I can do this!\You're mine! response:	Damn, you're fast!
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill\I can do this!\You're mine!\Damn, you're fast! response:	Is that what you thought I'd say?
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill\I can do this!\You're mine!\Damn, you're fast!\Is that what you thought I'd say? response:	This isn't enough for me to... lose!
context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create...\Sacrifice!\Wait, isn't that skill\I can do this!\You're mine!\Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose! response:	Wait...
context: Sacrifice!\Wait, isn't that skill\I can do this!\You're mine!\Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait... response:	Skills Skills Skills
context: Wait, isn't that skill\I can do this!\You're mine!\Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait...\Skills Skills Skills response:	Th-That sword... It has a lightning attribute?!
context: I can do this!\You're mine!\Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?! response:	This is honestly a pain, so I'm going to end it now.
context: You're mine!\Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now. response:	I win!
context: Damn, you're fast!\Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win! response:	Master...
context: Is that what you thought I'd say?\This isn't enough for me to... lose!\Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win!\Master... response:	Noir...
context: This isn't enough for me to... lose!\Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win!\Master...\Noir... response:	Don't go dying on me.
context: Wait...\Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win!\Master...\Noir...\Don't go dying on me. response:	Please be my master!
context: Skills Skills Skills\Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win!\Master...\Noir...\Don't go dying on me.\Please be my master! response:	Please! I want to be your student!
context: Th-That sword... It has a lightning attribute?!\This is honestly a pain, so I'm going to end it now.\I win!\Master...\Noir...\Don't go dying on me.\Please be my master!\Please! I want to be your student! response:	200 Years Ago
context: This is honestly a pain, so I'm going to end it now.\I win!\Master...\Noir...\Don't go dying on me.\Please be my master!\Please! I want to be your student!\200 Years Ago response:	Wow, that must've taken a lot of guts.
context: I win!\Master...\Noir...\Don't go dying on me.\Please be my master!\Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts. response:	But that's such a pain...
context: Master...\Noir...\Don't go dying on me.\Please be my master!\Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain... response:	Yeah, nah. Run along now. Shoo, shoo.
context: Noir...\Don't go dying on me.\Please be my master!\Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo. response:	Please!
context: Don't go dying on me.\Please be my master!\Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please! response:	Aw, his cute, pristine face is going to get dirty.
context: Please be my master!\Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty. response:	But still...
context: Please! I want to be your student!\200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty.\But still... response:	I'm terrible at teaching.
context: 200 Years Ago\Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching. response:	Please reconsider!
context: Wow, that must've taken a lot of guts.\But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching.\Please reconsider! response:	I'll do my best, even if it kills me!
context: But that's such a pain...\Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me! response:	Nope. Not happening.
context: Yeah, nah. Run along now. Shoo, shoo.\Please!\Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening. response:	End of story.
context: Please!\Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening.\End of story. response:	Please make me your student!
context: Aw, his cute, pristine face is going to get dirty.\But still...\I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening.\End of story.\Please make me your student! response:	Please!
context: But still...\I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening.\End of story.\Please make me your student!\Please! response:	Please!
context: I'm terrible at teaching.\Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening.\End of story.\Please make me your student!\Please!\Please! response:	Why are you so obsessed with this?
context: Please reconsider!\I'll do my best, even if it kills me!\Nope. Not happening.\End of story.\Please make me your student!\Please!\Please!\Why are you so obsessed with this? response:	I promised my childhood friend, who passed away, that I'd become
context: I'll do my best, even if it kills me!\Nope. Not happening.\End of story.\Please make me your student!\Please!\Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become response:	the best adventurer in the world.
context: Nope. Not happening.\End of story.\Please make me your student!\Please!\Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world. response:	So I'm going to become the best adventurer in the world,
context: End of story.\Please make me your student!\Please!\Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world, response:	one whose name is known even to the heavens.
context: Please make me your student!\Please!\Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens. response:	Okay, then. I'll give you a chance to be my student.
context: Please!\Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student. response:	Attack me right now.
context: Please!\Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now. response:	Huh?
context: Why are you so obsessed with this?\I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh? response:	You can use any means. If you give me so much as a scratch, you win.
context: I promised my childhood friend, who passed away, that I'd become\the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win. response:	Wait, in the middle of the city?
context: the best adventurer in the world.\So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city? response:	You want to be the best in the world, right?
context: So I'm going to become the best adventurer in the world,\one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right? response:	Here I go!
context: one whose name is known even to the heavens.\Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go! response:	You're terrible at lying, aren't you?
context: Okay, then. I'll give you a chance to be my student.\Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you? response:	You hold your sword entirely too straight.
context: Attack me right now.\Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight. response:	And...
context: Huh?\You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And... response:	Maybe it's none of my business,
context: You can use any means. If you give me so much as a scratch, you win.\Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And...\Maybe it's none of my business, response:	but you should give up on becoming an adventurer.
context: Wait, in the middle of the city?\You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And...\Maybe it's none of my business,\but you should give up on becoming an adventurer. response:	The boy just refused to give up.
context: You want to be the best in the world, right?\Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And...\Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up. response:	Day after day... Every single day.
context: Here I go!\You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And...\Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day. response:	Could you tell me about goblins?
context: You're terrible at lying, aren't you?\You hold your sword entirely too straight.\And...\Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins? response:	Aw, but that's such a pain.
context: You hold your sword entirely too straight.\And...\Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain. response:	I'm sure even you'd be able to take down a goblin.
context: And...\Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin. response:	But be careful with iron goblins.
context: Maybe it's none of my business,\but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins. response:	Their flesh is super hard, so go after their eyes instead.
context: but you should give up on becoming an adventurer.\The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead. response:	I see!
context: The boy just refused to give up.\Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see! response:	Even after a month had passed, the boy showed up every day.
context: Day after day... Every single day.\Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day. response:	I never thought of that! You really are something, Master!
context: Could you tell me about goblins?\Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master! response:	Seriously, stop calling me Master.
context: Aw, but that's such a pain.\I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master. response:	I'm pretty sure I won't be able to use that method,
context: I'm sure even you'd be able to take down a goblin.\But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method, response:	so I'll just swing around my sword more.
context: But be careful with iron goblins.\Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more. response:	Thanks for all your valuable advice today!
context: Their flesh is super hard, so go after their eyes instead.\I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today! response:	Maybe becoming an actual mentor might not be such a bad thing.
context: I see!\Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing. response:	Barkeep, I'll take the usual.
context: Even after a month had passed, the boy showed up every day.\I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual. response:	Olivia, should you be here right now?
context: I never thought of that! You really are something, Master!\Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now? response:	What do you mean?
context: Seriously, stop calling me Master.\I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean? response:	Well, your student...
context: I'm pretty sure I won't be able to use that method,\so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean?\Well, your student... response:	What are you talking about?
context: so I'll just swing around my sword more.\Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean?\Well, your student...\What are you talking about? response:	You haven't heard? Well, he...
context: Thanks for all your valuable advice today!\Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean?\Well, your student...\What are you talking about?\You haven't heard? Well, he... response:	My daughter was attacked by a monster, and he saved her.
context: Maybe becoming an actual mentor might not be such a bad thing.\Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean?\Well, your student...\What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her. response:	By the time I had gotten back with the guards, it was too late.
context: Barkeep, I'll take the usual.\Olivia, should you be here right now?\What do you mean?\Well, your student...\What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late. response:	The monster was the rare iron goblin.
context: Olivia, should you be here right now?\What do you mean?\Well, your student...\What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin. response:	He stabbed the monster's eye with his sword so my daughter could escape.
context: What do you mean?\Well, your student...\What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape. response:	His pristine skin...
context: Well, your student...\What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin... response:	Such a beautiful face.
context: What are you talking about?\You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face. response:	A face as sweet and calm as the moon.
context: You haven't heard? Well, he...\My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon. response:	What if I had taught him properly?
context: My daughter was attacked by a monster, and he saved her.\By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly? response:	What if I had actually become his master and Bestowed skills upon him?
context: By the time I had gotten back with the guards, it was too late.\The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him? response:	If I had chosen a different yesterday,
context: The monster was the rare iron goblin.\He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday, response:	then a different tomorrow would have...
context: He stabbed the monster's eye with his sword so my daughter could escape.\His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have... response:	What awaited me after that was 200 years of being alone.
