context: You're invading the Empire of Misurugi? response:	Lizardia sent word that Aura
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura response:	was found in a secret compartment in the deepest levels of the Misurugi's underground.
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground. response:	Beneath the Empire?
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire? response:	We will open a singularity at the hour of Suzaku tomorrow morning.
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning. response:	We will invade Misurugi with all our forces and take back Aura.
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura. response:	So why are you telling me this?
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this? response:	Are you ordering me to join your fight or something?
context: You're invading the Empire of Misurugi?\Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something? response:	Of course not.
context: Lizardia sent word that Aura\was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not. response:	You are free, Ange.
context: was found in a secret compartment in the deepest levels of the Misurugi's underground.\Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not.\You are free, Ange. response:	You can live in this world, or return to that other Earth.
context: Beneath the Empire?\We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth. response:	Of course, there would be nothing more encouraging than
context: We will open a singularity at the hour of Suzaku tomorrow morning.\We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than response:	to have you fight alongside us.
context: We will invade Misurugi with all our forces and take back Aura.\So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us. response:	I wanted to know how you felt about this before we move out tomorrow.
context: So why are you telling me this?\Are you ordering me to join your fight or something?\Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow. response:	Me?
context: Are you ordering me to join your fight or something?\Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me? response:	We are indebted to you for saving our people.
