context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	To retrieve the magic stone that the Eye of the Midnight Sun is after,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after, response:	Asta and the others headed for the Underwater Temple.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple. response:	But a strong flow of mana caused powerful currents,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents, response:	making it impossible for anyone to go in.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in. response:	The only time the mana would weaken was in a week, on the night of the full moon.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in.\The only time the mana would weaken was in a week, on the night of the full moon. response:	Yami ordered Noelle to master a water spell that would allow them
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in.\The only time the mana would weaken was in a week, on the night of the full moon.\Yami ordered Noelle to master a water spell that would allow them response:	to move through the water by then.
context: He was called the Wizard King, and he became a legend.\To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in.\The only time the mana would weaken was in a week, on the night of the full moon.\Yami ordered Noelle to master a water spell that would allow them\to move through the water by then. response:	Asta and a mysterious girl named Kahono encouraged Noelle
context: To retrieve the magic stone that the Eye of the Midnight Sun is after,\Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in.\The only time the mana would weaken was in a week, on the night of the full moon.\Yami ordered Noelle to master a water spell that would allow them\to move through the water by then.\Asta and a mysterious girl named Kahono encouraged Noelle response:	when she was unable to control her powers.
context: Asta and the others headed for the Underwater Temple.\But a strong flow of mana caused powerful currents,\making it impossible for anyone to go in.\The only time the mana would weaken was in a week, on the night of the full moon.\Yami ordered Noelle to master a water spell that would allow them\to move through the water by then.\Asta and a mysterious girl named Kahono encouraged Noelle\when she was unable to control her powers. response:	The rest of the Black Bulls also joined in.
