context: If you're Type B, you need to take care. response:	If you continue to let it be, it could become a serious,
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious, response:	even life-threatening, situation.
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation. response:	Turn it off!
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off! response:	But this program will reveal the solution in one fell swoop!
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop! response:	This TV is sick!
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick! response:	It's really nothing to be scared about...
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about... response:	How about taking a bath?
context: If you're Type B, you need to take care.\If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about...\How about taking a bath? response:	Am I gonna die too?
context: If you continue to let it be, it could become a serious,\even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too? response:	What are you talking about? You're only 6 years old!
context: even life-threatening, situation.\Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old! response:	Sorry!
context: Turn it off!\But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry! response:	I dunno about tomorrow.
context: But this program will reveal the solution in one fell swoop!\This TV is sick!\It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: This TV is sick!\It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: It's really nothing to be scared about...\How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: How about taking a bath?\Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: Am I gonna die too?\What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: What are you talking about? You're only 6 years old!\Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: Sorry!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
