context: The other team chose to receive the ball first. response:	We'll be serving first.
context: The other team chose to receive the ball first.\We'll be serving first. response:	All right.
context: The other team chose to receive the ball first.\We'll be serving first.\All right. response:	It's finally the qualifiers.
context: The other team chose to receive the ball first.\We'll be serving first.\All right.\It's finally the qualifiers. response:	Everyone looks more nervous than usual.
context: The other team chose to receive the ball first.\We'll be serving first.\All right.\It's finally the qualifiers.\Everyone looks more nervous than usual. response:	Fly
context: The other team chose to receive the ball first.\We'll be serving first.\All right.\It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly response:	Especially the third-years...
context: The other team chose to receive the ball first.\We'll be serving first.\All right.\It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly\Especially the third-years... response:	Those are so awesome!
context: The other team chose to receive the ball first.\We'll be serving first.\All right.\It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly\Especially the third-years...\Those are so awesome! response:	Your new glasses look so cool, Tsukishima!
context: We'll be serving first.\All right.\It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly\Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima! response:	You've been saying that nearly every day, Hinata.
context: All right.\It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly\Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata. response:	Having you say they're cool shakes my self-confidence, so I wish you'd stop.
context: It's finally the qualifiers.\Everyone looks more nervous than usual.\Fly\Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop. response:	What'd you say?!
context: Everyone looks more nervous than usual.\Fly\Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?! response:	Ta-da! Here you go.
context: Fly\Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go. response:	They're sports glasses.
context: Especially the third-years...\Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go.\They're sports glasses. response:	I made sure to find cool-looking ones.
context: Those are so awesome!\Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones. response:	With those on, blocking with your face isn't scary at all!
context: Your new glasses look so cool, Tsukishima!\You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all! response:	Uh, yes it is.
context: You've been saying that nearly every day, Hinata.\Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is. response:	I don't care if it's Ushiwaka or Benkei... Go stop'em.
context: Having you say they're cool shakes my self-confidence, so I wish you'd stop.\What'd you say?!\Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em. response:	What's up with the first-years putting on braver faces than us?
context: What'd you say?!\Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us? response:	The third-years can't just sit here cowering, either.
context: Ta-da! Here you go.\They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either. response:	All right!
