context: Kingdom (Part 1) response:	COMFY
context: Kingdom (Part 1)\COMFY response:	Wow!
context: Kingdom (Part 1)\COMFY\Wow! response:	Rei.
context: Kingdom (Part 1)\COMFY\Wow!\Rei. response:	Good luck at the Newcomer Tournament finals tomorrow.
context: Kingdom (Part 1)\COMFY\Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow. response:	And so...
context: Kingdom (Part 1)\COMFY\Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so... response:	Here. Pork Cut'let's win!
context: Kingdom (Part 1)\COMFY\Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win! response:	PORK CUT'LET'S WIN
context: Kingdom (Part 1)\COMFY\Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN response:	TA-DAA
context: COMFY\Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA response:	Thank you for the
context: Wow!\Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA\Thank you for the response:	Delicious!
context: Rei.\Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA\Thank you for the\Delicious! response:	It's crispy!
context: Good luck at the Newcomer Tournament finals tomorrow.\And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA\Thank you for the\Delicious!\It's crispy! response:	And juicy!
context: And so...\Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA\Thank you for the\Delicious!\It's crispy!\And juicy! response:	Momo's cutlet is cut in cubes.
context: Here. Pork Cut'let's win!\PORK CUT'LET'S WIN\TA-DAA\Thank you for the\Delicious!\It's crispy!\And juicy!\Momo's cutlet is cut in cubes. response:	Yummy!
context: PORK CUT'LET'S WIN\TA-DAA\Thank you for the\Delicious!\It's crispy!\And juicy!\Momo's cutlet is cut in cubes.\Yummy! response:	I know, right?
context: TA-DAA\Thank you for the\Delicious!\It's crispy!\And juicy!\Momo's cutlet is cut in cubes.\Yummy!\I know, right? response:	I cracked a raw egg on top of the hot pork cutlet.
context: Thank you for the\Delicious!\It's crispy!\And juicy!\Momo's cutlet is cut in cubes.\Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet. response:	So you're going to Osaka tomorrow?
context: Delicious!\It's crispy!\And juicy!\Momo's cutlet is cut in cubes.\Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow? response:	For events like that, you arrive the day before, right?
context: It's crispy!\And juicy!\Momo's cutlet is cut in cubes.\Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right? response:	Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.
context: And juicy!\Momo's cutlet is cut in cubes.\Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there. response:	And Hina, your bullet train leaves at eight tomorrow, right?
context: Momo's cutlet is cut in cubes.\Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right? response:	You have to be at school by seven?
context: Yummy!\I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven? response:	NOM NOM
context: I know, right?\I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM response:	You have an early morning, so why don't I draw the bath?
context: I cracked a raw egg on top of the hot pork cutlet.\So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath? response:	Uh, okay.
context: So you're going to Osaka tomorrow?\For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay. response:	Hina, buy me a souvenir!
context: For events like that, you arrive the day before, right?\Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir! response:	Sure.
context: Yes. The Kansai Shogi Hall has a few rooms available, so I'll be staying there.\And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir!\Sure. response:	That's right. Hina's school trip is from tomorrow.
context: And Hina, your bullet train leaves at eight tomorrow, right?\You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow. response:	Two nights and three days in Kyoto.
context: You have to be at school by seven?\NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto. response:	Thank you for dinner.
context: NOM NOM\You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner. response:	Oh, what's wrong? You're done already?
context: You have an early morning, so why don't I draw the bath?\Uh, okay.\Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already? response:	I don't know what it is, but my stomach hurts.
context: Uh, okay.\Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts. response:	Are you all right? Maybe it was too greasy.
context: Hina, buy me a souvenir!\Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy. response:	It's unusual for you to have a stomachache.
context: Sure.\That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache. response:	Want some medicine?
context: That's right. Hina's school trip is from tomorrow.\Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine? response:	Yeah.
context: Two nights and three days in Kyoto.\Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine?\Yeah. response:	Hina, that's...
context: Thank you for dinner.\Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine?\Yeah.\Hina, that's... response:	You said your stomach hurts?
context: Oh, what's wrong? You're done already?\I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine?\Yeah.\Hina, that's...\You said your stomach hurts? response:	There. Lie on your right side.
