context: The Third Plate response:	Eleven
context: The Third Plate\Eleven response:	Cutting Edge Cuisine RS
context: The Third Plate\Eleven\Cutting Edge Cuisine RS response:	Good work, Ryo-kun.
context: The Third Plate\Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun. response:	You listened to what I said and won, as you should've.
context: The Third Plate\Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've. response:	Uh, I guess.
context: The Third Plate\Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess. response:	Anyway, we have a win.
context: The Third Plate\Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win. response:	We got one back at Central!
context: The Third Plate\Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win.\We got one back at Central! response:	Yeah!
context: Eleven\Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win.\We got one back at Central!\Yeah! response:	That was a good match.
context: Cutting Edge Cuisine RS\Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win.\We got one back at Central!\Yeah!\That was a good match. response:	What?
context: Good work, Ryo-kun.\You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win.\We got one back at Central!\Yeah!\That was a good match.\What? response:	Director Nakiri?!
context: You listened to what I said and won, as you should've.\Uh, I guess.\Anyway, we have a win.\We got one back at Central!\Yeah!\That was a good match.\What?\Director Nakiri?! response:	Seriously?!
context: Uh, I guess.\Anyway, we have a win.\We got one back at Central!\Yeah!\That was a good match.\What?\Director Nakiri?!\Seriously?! response:	Uncle Azami, it's been a while.
context: Anyway, we have a win.\We got one back at Central!\Yeah!\That was a good match.\What?\Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while. response:	Scandinavia, 8 Years Ago
